action_id,precision,tier,geocoder,apply,confidence,score,source_field,matched_text,geometry_lat_long_polygon_etc,address_if_available,lon,lat,dist_from_centroid_km
1104241,4,C_intersection,census,yes,medium,100,text,Berger Avenue and Shore Road,"40.660632733619, -73.422223741723",,-73.422223741723,40.660632733619,69.4
1104232,4,D_named_road,nys_street,yes,low,100,text,Richmond Avenue,"40.66446535874434, -73.41935627893245",,-73.41935627893245,40.66446535874434,68.99
1104234,4,D_named_road,nys_street,yes,low,100,text,Merrick Road,"40.67146930168317, -73.42337423355414",,-73.42337423355414,40.67146930168317,68.95
1104240,4,D_named_road,nys_street,yes,low,100,text,Montauk Highway,"40.667763291987335, -73.40444427108858",,-73.40444427108858,40.667763291987335,67.7
1104042,4,D_named_road,nys_street,yes,low,100,text,West Neck Road,"40.90447631830472, -73.4813453399442",,-73.4813453399442,40.90447631830472,67
1091195,4,D_route,nys_street,yes,medium,100,text,NY Route 51,"42.87023421500667, -75.19235239240575",,-75.19235239240575,42.87023421500667,63.88
1098251,4,D_named_road,nys_street,yes,low,97.46,text,Pontoon Bridge Rd,"44.9633109377026, -74.91835611135251",,-74.91835611135251,44.9633109377026,53.26
1100021,4,D_route,nys_street,yes,medium,97.46,text,County Rt 37,"44.91867293913133, -74.81710022881778",,-74.81710022881778,44.91867293913133,51
1097040,4,D_named_road,nys_street,yes,low,97.46,text,River Rd,"44.34472085638985, -75.6584432439634",,-75.6584432439634,44.34472085638985,49.76
1089677,4,D_route,nys_street,yes,medium,100,text,County Route 16,"42.003461382710384, -78.52068087767928",,-78.52068087767928,42.003461382710384,49.51
1100022,4,D_named_road,nys_street,yes,low,97.46,text,Maple Ridge Rd,"44.88939198895081, -74.80363007440663",,-74.80363007440663,44.88939198895081,48.47
1098432,4,C_intersection,census,yes,medium,100,text,Otsego Street and Second St,"43.013106345079, -75.037277566907",,-75.037277566907,43.013106345079,45.62
1098426,4,C_intersection,census,yes,medium,100,text,W. Clark Street and Pleasant Ave,"43.018551344168, -75.039550065777",,-75.039550065777,43.018551344168,45.04
1098245,4,D_named_road,nys_street,yes,low,97.46,text,Water Street,"44.8981729912377, -75.01664112946192",,-75.01664112946192,44.8981729912377,44.87
1098246,4,D_named_road,nys_street,yes,low,97.46,text,Water Street,"44.8981729912377, -75.01664112946192",,-75.01664112946192,44.8981729912377,44.87
1103612,4,D_named_road,nys_street,yes,low,97.46,text,Branch Drive,"40.84949534808716, -73.18491522955821",,-73.18491522955821,40.84949534808716,43.2
1098281,4,D_named_road,nys_street,yes,low,97.46,text,California Rd,"44.40825782081879, -75.59377324840175",,-75.59377324840175,44.40825782081879,42.79
1093444,4,D_named_road,nys_street,yes,low,97.46,text,Main Street,"44.86560989869521, -75.20462021281607",,-75.20462021281607,44.86560989869521,42.43
1100562,4,D_named_road,nys_street,yes,low,100,text,Second Street,"42.05612935052603, -75.43521806461959",,-75.43521806461959,42.05612935052603,41.76
1100020,4,D_named_road,nys_street,yes,low,97.46,text,Congress St,"44.80905790996556, -74.77710112558484",,-74.77710112558484,44.80905790996556,41.73
1098295,4,D_named_road,nys_street,yes,low,97.46,text,Nation Rd,"44.865738982957524, -75.0333820799234",,-75.0333820799234,44.865738982957524,41.16
1104304,4,D_named_road,nys_street,yes,low,100,text,Mill Lane,"44.408243957627896, -74.0852176120425",,-74.0852176120425,44.408243957627896,40.82
1104320,4,D_named_road,nys_street,yes,low,100,text,Union Lane,"44.40889493414361, -74.08247372230811",,-74.08247372230811,44.40889493414361,40.75
1104280,4,D_named_road,nys_street,yes,low,100,text,School Street,"44.4060018955287, -74.08754477740429",,-74.08754477740429,44.4060018955287,40.74
1096877,4,A_coords,parse,yes,high,,description...action_description,,"44.75389198, -74.70760442",,-74.70760442,44.75389198,40.47
1093446,4,D_named_road,nys_street,yes,low,97.46,text,Brown Church Rd,"44.82076186859982, -75.29306823025962",,-75.29306823025962,44.82076186859982,40.19
1100546,4,D_route,nys_street,yes,medium,100,text,State Route 17,"41.955244748384814, -75.3150220588191",,-75.3150220588191,41.955244748384814,39.46
1098296,4,D_route,nys_street,yes,medium,97.46,text,County Route 36,"44.84890293978997, -75.08079819388857",,-75.08079819388857,44.84890293978997,39.21
1097245,4,D_route,nys_street,yes,medium,97.46,text,Rt 812,"44.22828281717584, -75.38273215579792",,-75.38273215579792,44.22828281717584,38.87
1091016,4,D_named_road,nys_street,yes,low,100,text,Van Buren Street,"43.10153366993704, -74.77135990934828",,-74.77135990934828,43.10153366993704,38.62
1091018,4,D_named_road,nys_street,yes,low,100,text,North Main Street,"43.10197265201343, -74.77064588197243",,-74.77064588197243,43.10197265201343,38.59
1091024,4,D_named_road,nys_street,yes,low,100,text,North Main Street,"43.10197265201343, -74.77064588197243",,-74.77064588197243,43.10197265201343,38.59
1091020,4,D_named_road,nys_street,yes,low,100,text,Dolge Avenue,"43.1022156835898, -74.77042295140062",,-74.77042295140062,43.1022156835898,38.58
1093833,4,D_named_road,nys_street,yes,low,100,text,The Dolge Avenue,"43.1022156835898, -74.77042295140062",,-74.77042295140062,43.1022156835898,38.58
1093445,4,D_named_road,nys_street,yes,low,97.46,text,Hardscrabble Rd,"44.83444287818316, -75.14589111243713",,-75.14589111243713,44.83444287818316,38.08
1102699,4,D_named_road,nys_street,yes,low,100,text,Cottage Road,"42.43683142047882, -79.06372712557209",,-79.06372712557209,42.43683142047882,37.93
1098741,4,D_named_road,nys_street,yes,low,97.46,text,Youngs Rd,"44.16002187897849, -75.03467804557816",,-75.03467804557816,44.16002187897849,37.5
1100994,4,D_named_road,nys_street,yes,low,100,text,Point Peter Road,"42.44170245251336, -78.92122813512194",,-78.92122813512194,42.44170245251336,37.06
1098620,4,D_named_road,nys_street,yes,low,97.46,text,Austin St,"44.33666681348154, -75.46976513965109",,-75.46976513965109,44.33666681348154,36.45
1100990,4,D_named_road,nys_street,yes,low,100,text,Johnson Street,"42.45882344820648, -78.9418591093261",,-78.9418591093261,42.45882344820648,35.84
1094348,4,D_route,nys_street,yes,medium,100,text,Route 49,"43.232538922347615, -75.87480957412437",,-75.87480957412437,43.232538922347615,35.57
1097244,4,D_named_road,nys_street,yes,low,97.46,text,Fullerville Rd,"44.23367154762633, -75.31851366495688",,-75.31851366495688,44.23367154762633,35.31
1100987,4,B_address,nys_address,yes,high,100,text,39 W. Main Street,"42.46336464914725, -78.93657755663719",39 W. Main Street,-78.93657755663719,42.46336464914725,35.21
1098730,4,D_named_road,nys_street,yes,low,97.46,text,Emeryville Rd,"44.31561784787545, -75.42749515131625",,-75.42749515131625,44.31561784787545,34.86
1088815,4,D_named_road,nys_street,yes,low,100,text,Dublin Street,"42.0559364550926, -75.43148902426319",,-75.43148902426319,42.0559364550926,34.05
1090377,4,D_named_road,nys_street,yes,low,100,text,Dublin Street,"42.0559364550926, -75.43148902426319",,-75.43148902426319,42.0559364550926,34.05
1099654,4,B_address,nys_address,yes,high,100,text,830 River Road,"43.04212954053539, -78.88851493650671",,-78.88851493650671,43.04212954053539,34.05
1099666,4,B_address,nys_address,yes,high,100,text,520 Hyde Park Blvd,"43.09241572949074, -79.02358896469987 | Citywide",520 Hyde Park Blvd,-79.02358896469987,43.09241572949074,33.97
1097237,4,D_named_road,nys_street,yes,low,100,text,West Main Street,"41.388055432950665, -74.71102574987705",,-74.71102574987705,41.388055432950665,33.86
1102697,4,D_named_road,nys_street,yes,low,100,text,Main Street,"42.3604617076714, -79.06083388623942",,-79.06083388623942,42.3604617076714,33.79
1091011,4,D_route,nys_street,yes,medium,100,text,Route 29,"43.1342956243798, -74.82447991226105",,-74.82447991226105,43.1342956243798,33.65
1091017,4,D_route,nys_street,yes,medium,100,text,Route 29,"43.1342956243798, -74.82447991226105",,-74.82447991226105,43.1342956243798,33.65
1094355,4,D_named_road,nys_street,yes,low,100,text,Stone Barn Road,"43.24834664359793, -75.84929316272095",,-75.84929316272095,43.24834664359793,33.5
1088161,4,D_named_road,nys_street,yes,low,100,text,Bush Street,"43.29818072410689, -73.65680359372395",,-73.65680359372395,43.29818072410689,32.97
1099775,4,D_named_road,nys_street,yes,low,100,text,Bush Street,"43.29818072410689, -73.65680359372395",,-73.65680359372395,43.29818072410689,32.97
1097241,4,C_intersection,census,yes,medium,100,text,Water Street and Lumber St,"41.374175140128, -74.698238788213",,-74.698238788213,41.374175140128,32.91
2178970,4,D_named_road,nys_street,yes,low,100,text,Witmer Road,"43.05610744664422, -78.90049419520858",,-78.90049419520858,43.05610744664422,32.86
1097242,4,D_named_road,nys_street,yes,low,100,text,King Street,"41.37490436928338, -74.69729176109968",,-74.69729176109968,41.37490436928338,32.82
1097238,4,B_address,nys_address,yes,high,100,text,51 West Main Street,"41.37902682644551, -74.69364853590372",51 West Main Street,-74.69364853590372,41.37902682644551,32.48
1099659,4,B_address,nys_address,yes,high,100,text,1785 New Road,"43.10513298945164, -79.00614719335671",1785 New Road,-79.00614719335671,43.10513298945164,31.99
1097216,4,D_named_road,nys_street,yes,low,100,text,Maiden Lane,"41.38517334981517, -74.68782774325844",,-74.68782774325844,41.38517334981517,31.95
1103013,4,B_address,census,yes,high,100,text,39 W. Main Street,"42.462962403537, -78.93640067331",39 W. Main Street,-78.93640067331,42.462962403537,31.87
1097223,4,D_named_road,nys_street,yes,low,100,text,North Orange St,"41.384056336872305, -74.6862148038958",,-74.6862148038958,41.384056336872305,31.82
1097239,4,D_named_road,nys_street,yes,low,100,text,North Orange Street,"41.384056336872305, -74.6862148038958",,-74.6862148038958,41.384056336872305,31.82
1099657,4,C_intersection,census,yes,medium,100,text,Birch Drive and Ruie Road,"43.06389349616, -78.871649829506 | Birch/Doebler/Raymond",,-78.871649829506,43.06389349616,31.35
1099608,4,A_coords,parse,yes,high,,description...action_description,,"42.069141, -74.548141",,-74.548141,42.069141,31.27
1091916,4,D_named_road,nys_street,yes,low,100,text,Manhattan Street,"40.50720221905764, -74.24342663553513",,-74.24342663553513,40.50720221905764,31
1091917,4,D_named_road,nys_street,yes,low,100,text,Manhattan Street,"40.50720221905764, -74.24342663553513",,-74.24342663553513,40.50720221905764,31
1091918,4,D_named_road,nys_street,yes,low,100,text,Manhattan Street,"40.50720221905764, -74.24342663553513",,-74.24342663553513,40.50720221905764,31
1101026,4,D_named_road,nys_street,yes,low,100,text,Spring Street,"42.9879100440174, -77.86585197486977",,-77.86585197486977,42.9879100440174,29.82
1103264,4,D_named_road,nys_street,yes,low,100,text,Edison Avenue,"40.89032136678262, -73.82523943107155",,-73.82523943107155,40.89032136678262,29.67
1105165,4,D_named_road,nys_street,yes,low,100,text,Anderson Ave,"44.0346587595044, -75.68608725272874",,-75.68608725272874,44.0346587595044,29.53
1101027,4,D_named_road,nys_street,yes,low,100,text,Pamela Way,"42.985771482776876, -77.85781175763422",,-77.85781175763422,42.985771482776876,29.43
1093985,4,D_route,nys_street,yes,medium,100,text,Route 80,"42.9069378077758, -74.79995529595432",,-74.79995529595432,42.9069378077758,29.35
1093990,4,D_route,nys_street,yes,medium,100,text,Route 80,"42.9069378077758, -74.79995529595432",,-74.79995529595432,42.9069378077758,29.35
1103176,4,D_named_road,nys_street,yes,low,100,text,Bronx River Road,"40.90105932682529, -73.86159137408094",,-73.86159137408094,40.90105932682529,29.29
1101461,4,B_address,nys_address,yes,high,100,text,284 Main Street,"43.01065441291164, -78.8814545879174",284 Main Street,-78.8814545879174,43.01065441291164,29.27
1103563,4,B_address,nys_address,yes,high,100,text,676 Pelham Road,"40.890019418853406, -73.787014580132",676 Pelham Road,-73.787014580132,40.890019418853406,29.22
1103560,4,B_address,nys_address,yes,high,100,text,666 Pelham Road,"40.89052865085633, -73.78655221523668",666 Pelham Road,-73.78655221523668,40.89052865085633,29.16
1103172,4,B_address,nys_address,yes,high,100,text,35 Central Park Avenue,"40.90752635912751, -73.87817462910533",35 Central Park Avenue,-73.87817462910533,40.90752635912751,29.08
1097637,4,B_address,census,yes,high,100,text,225 South Niagara St,"43.170856997255, -79.042724563565 | Niagara County DPW - 225 South Niagara St. Lockport NY 14094 Trott Building Niagara Falls 1001 11th st, Niagara Falls NY 14301",225 South Niagara St,-79.042724563565,43.170856997255,28.68
1099595,4,A_coords,parse,yes,high,,description...action_description,,"42.121084, -74.398646",,-74.398646,42.121084,28.37
1101024,4,D_named_road,nys_street,yes,low,100,text,Graney Road,"42.96807846770597, -77.8923038270729",,-77.8923038270729,42.96807846770597,28.34
1100448,4,D_named_road,nys_street,yes,low,100,text,North Main Street,"43.10197265201343, -74.77064588197243",,-74.77064588197243,43.10197265201343,28.32
