geoid,payload_row,existing_id,existing_row,score,j_action_name,j_description_of_the_problem,j_description_of_the_solutio,outcome
3604803,Shoreline Stabilization of Baxter Beach,1094264,Shoreline Stabilization of Baxter Beach,1.0,1.0,1.0,1.0,applied
3604803,Hazard Risk Awareness Outreach and Education Program,1094263,Hazard Risk Awareness Outreach and Education Program,1.0,1.0,1.0,1.0,applied
3605034,Adams Avenue Pump Station Project,1094231,Adams Avenue Pump Station Project,1.0,1.0,1.0,1.0,applied
3605034,First Avenue Drainage System,1094229,First Avenue Drainage System,1.0,1.0,1.0,1.0,applied
3605034,President Streets Drainage Project,1094228,President Streets Drainage Project,1.0,1.0,1.0,1.0,applied
3605934000,Emergency Power Generator Projects,1095218,Emergency Power Generator Projects,1.0,1.0,1.0,1.0,applied
3605934000,Infrastructure Projects,1095219,Infrastructure Projects,1.0,1.0,1.0,1.0,applied
3605934000,Road Elevation Projects,1095217,Road Elevation Projects,1.0,1.0,1.0,1.0,applied
3605956000,Emergency Preparedness and Disaster Action Planning,1095231,Emergency Preparedness and Disaster Action Planning,1.0,1.0,1.0,1.0,applied
3605956000,Enhancements to Bay Constable Building,1095230,Enhancements to Bay Constable Building,1.0,1.0,1.0,1.0,applied
3605956000,Muscle Wall Mitigation System,1095227,Muscle Wall Mitigation System,1.0,1.0,1.0,1.0,applied
3605956000,Repair and Rebuild Stormwater Management System at Fireman's Memorial Field,1095237,Repair and Rebuild Stormwater Management System at Fireman's Memorial Field,1.0,1.0,1.0,1.0,applied
3610132,Emergency Generator Installation at Village Department of Public Works Garage Building,1094248,Emergency Generator Installation at Village Department of Public Works Garage Building,1.0,1.0,1.0,1.0,applied
3613618,Road Elevation,1094191,Road Elevation,1.0,1.0,1.0,1.0,applied
3613618,Seawall Valve,1094190,Seawall Valve,1.0,1.0,1.0,1.0,applied
3618597,Emergency Generator Installation at Police Station,1094187,Emergency Generator Installation at Police Station,1.0,1.0,1.0,1.0,applied
