source_title,assigned_role,n_people
Mayor,Community Chief Executive Officer - Mayor,41
Superintendent,Public Works Professional,24
,(unmapped),16
Village Clerk,Fiscal Staff,15
Emergency Manager,Emergency Management Personnel,12
Village Administrator,Community Chief Executive Officer - City Manager,12
Deputy Mayor,Elected Official,8
Director,(unmapped),8
Commissioner,(unmapped),7
Administrator,Community Chief Executive Officer - City Manager,6
Deputy Commissioner,(unmapped),6
Building Inspector,Chief Building Official,5
Deputy Clerk,Fiscal Staff,4
Deputy Superintendent,Public Works Professional,4
Emergency Management Coordinator,Emergency Management Personnel,4
Fire Commissioner,First Responder - Fire,4
Trustee,Elected Official,4
Village Clerk-Treasurer,Fiscal Staff,4
Village Clerk/Treasurer,Fiscal Staff,4
Clerk,Fiscal Staff,3
Clerk Treasurer,Fiscal Staff,3
Managing Associate,Stakeholder - Other,3
Superintendent Of Buildings,Chief Building Official,3
Chief of Police,First Responder - Police,2
Clerk & Treasurer,Fiscal Staff,2
Deputy Village Administrator,Community Chief Executive Officer - City Manager,2
Deputy Village Treasurer,Fiscal Staff,2
Director of Planning,Planner,2
Director of Recovery,Emergency Management Personnel,2
Police Sergeant,First Responder - Police,2
"Program Examiner, Office of Emergency Management",Emergency Management Personnel,2
Senior Managing Associate,Stakeholder - Other,2
Street Commissioner,Public Works Professional,2
Superintendent Public Works,Public Works Professional,2
Superintendent of Public Works,Public Works Professional,2
Supervisor,Community Chief Executive Officer - Other,2
Village Attorney,Attorney,2
Village Clerk & Treasurer,Fiscal Staff,2
Village Engineer,Civil Engineer,2
Acting City Manager,Community Chief Executive Officer - City Manager,1
Acting Clerk,Fiscal Staff,1
Acting Village Clerk,Fiscal Staff,1
Admin,(unmapped),1
Administrator &Treasurer,Community Chief Executive Officer - City Manager,1
Assistant to the Mayor,Community Chief Executive Officer - Mayor,1
Building Inspector at Village of Sea Cliff,Chief Building Official,1
Business Owner,Stakeholder - Business Leader,1
Chief at Westbury Fire Department,First Responder - Fire,1
Clerk-Treasurer,Fiscal Staff,1
Clerk/Treasurer,Fiscal Staff,1
Code Enforcement Inspector,Chief Building Official,1
Commissioner Of Emergency Management,Emergency Management Personnel,1
"Commissioner Of Public Safety,",First Responder - Police,1
Community Planner,Planner,1
Consultant Engineer,Civil Engineer,1
Coordinator of Community Mental Health Services,Public Health Professional,1
DHSES Mitigation Planning Manager,Planner,1
Deputy Administrator,(unmapped),1
Deputy Chief,(unmapped),1
Deputy County Executive,Community Chief Executive Officer - County Executive,1
Deputy Director,(unmapped),1
Deputy Director,Planner,1
Deputy Emergency Manager,Emergency Management Personnel,1
"Deputy Mayor, Police Commissioner",Elected Official,1
Deputy Superintendent/ Emergency Manager,Emergency Management Personnel,1
Deputy Treasurer,Fiscal Staff,1
Deputy Village Clerk,Fiscal Staff,1
Director,Emergency Management Personnel,1
Director Of Emergency Management,Emergency Management Personnel,1
"Director, Public Health Emergency Preparedness",Public Health Professional,1
Director/EMO Coordinator,Emergency Management Personnel,1
District Manager,Nature Resources / Environmental Protection Personnel,1
Division Supervising Fire Marshal,First Responder - Fire,1
Emergency Management Officer,Emergency Management Personnel,1
Emergency Management Specialist,Emergency Management Personnel,1
Emergency Manager/Trustee,Elected Official,1
Executive Director,(unmapped),1
Executive Director,Planner,1
Executive Director,Stakeholder - Civic Group,1
Grants Administrator,Grant Writer,1
Grants Manager,Grant Writer,1
Grants Technician,Grant Writer,1
Head Village Clerk,Fiscal Staff,1
Investigator Captain,First Responder - Police,1
MEO-Sanitation Worker,Public Works Professional,1
Mayor at Village of Cedarhurst,Community Chief Executive Officer - Mayor,1
Mitigation Planner,Planner,1
New York,(unmapped),1
Officer,First Responder - Police,1
"P.E.,CFM., Village Engineer",Civil Engineer,1
Park Director,Nature Resources / Environmental Protection Personnel,1
Planner II,Planner,1
Planning Board Member,Planner,1
President,(unmapped),1
Public Participation Specialist,Nature Resources / Environmental Protection Personnel,1
Public Safety Assistant,First Responder - Police,1
Public Works Commissioner,Public Works Professional,1
Region 1 (Long Island) Chapter Chairman,Floodplain Administrator,1
Regional Director,Stakeholder - Other,1
Regional Planner,Planner,1
Road Commissioner,Public Works Professional,1
Sands Point Representative to Manhasset Bay Protection Committee,Nature Resources / Environmental Protection Personnel,1
Senior Engineering Aide,Civil Engineer,1
Sergeant,First Responder - Police,1
Special Counsel for Public Safety,First Responder - Police,1
Staff,(unmapped),1
Superintendent Of Building/Commissioner Of Public Services,Chief Building Official,1
Superintendent and Floodplain Administrator,Floodplain Administrator,1
Superintendent at Department of Public Works,Public Works Professional,1
"Supervisor, Water & Sewer Services",Community Chief Executive Officer - Other,1
Supterintendent of D.P.W.,Public Works Professional,1
Treasurer,Fiscal Staff,1
Trustee & Director,Elected Official,1
Trustee and Director,Elected Official,1
Trustee/Deputy Mayor,Community Chief Executive Officer - Mayor,1
Village Administrator and Building Inspector,Community Chief Executive Officer - City Manager,1
Village Clerk Treasurer,Fiscal Staff,1
Village Clerk's Office,Fiscal Staff,1
Village Trustee,Elected Official,1
White & Re Insurance,Stakeholder - Insurance Agent,1
