airing_id,show_id,day,start,end
1,4,6,06:00,10:00
2,14,5,04:00,06:00
3,15,6,16:00,20:00
4,17,5,08:00,12:00
5,20,5,12:00,16:00
6,35,5,06:00,08:00
7,123,3,08:00,10:00
8,183,0,10:00,12:00
9,311,3,20:00,22:00
10,368,3,06:00,08:00
11,415,4,10:00,12:00
12,470,6,22:00,00:00
13,569,0,16:00,18:00
14,585,6,10:00,14:00
15,605,2,18:00,20:00
16,614,4,14:00,16:00
17,618,0,18:00,19:00
18,626,3,18:00,20:00
19,632,4,14:00,16:00
20,633,0,21:00,23:00
21,634,1,22:00,23:00
22,638,4,22:00,23:00
23,640,3,23:00,01:00
24,642,1,19:00,20:00
25,643,0,12:00,14:00
26,651,5,22:00,00:00
27,652,2,23:00,00:00
28,653,3,22:00,23:00
29,655,2,22:00,23:00
30,656,2,08:00,09:00
31,657,0,19:00,20:00
32,659,4,12:00,13:00
33,660,1,16:00,17:00
34,662,0,20:00,21:00
35,667,1,11:00,12:00
36,668,2,00:00,02:00
37,669,1,10:00,11:00
38,670,6,21:00,22:00
39,671,2,15:00,17:00
40,672,1,23:00,00:00
41,673,4,16:00,17:00
42,674,3,00:00,01:00
43,675,2,20:00,21:00
44,677,1,17:00,19:00
45,678,3,10:00,12:00
46,679,0,23:00,01:00
47,680,1,01:00,02:00
48,681,2,21:00,22:00
49,683,5,14:00,16:00
50,685,1,12:00,13:00
51,686,3,12:00,14:00
52,687,0,14:00,15:00
53,688,5,00:00,01:00
54,689,3,17:00,18:00
55,690,3,14:00,15:00
56,691,5,18:00,20:00
57,692,2,12:00,14:00
58,693,5,16:00,17:00
59,694,5,17:00,18:00
60,695,3,15:00,16:00
61,696,2,17:00,18:00
62,697,0,17:00,18:00
63,698,2,14:00,15:00
64,699,2,10:00,11:00
65,701,4,21:00,22:00
66,702,1,14:00,16:00
67,692,6,18:00,20:00
68,704,1,21:00,22:00
69,705,4,23:00,00:00
