show_id,name,dj_id,department,icon,description,legacy_schedule_ids
1,Record Review,454,Rock,Pick,,3
2,In Tune With Nothing,452,,,"punk ,indie, hardcore and maybe even some ska if I feel like pretending I'm 15 again.",4
3,70's R&B,379,Hip-Hop/R&B,Microphone,Break out your old platforms and try to squeeze into your bellbottoms and let's go down the Soul Train line of every year of the 1970's: it's '70's R&B. (Also features The Hot 10 for songs that were hot on this day for every year from 1979 down through 1970 and a bonus The Hot 10 for songs that were hot on this day for every year from 1969 down through 1965),5
4,Rhythm & Praise Gospel-All Of Today's Top Gospel Hits,379,Specialty,Star,Hear the top gospel songs in the country today. It's the Rhythm and Praise Gospel express of today's top gospel hits played back-to-back.,6
5,Retro Radio,364,,,,7
6,Best of WCDB-Broadcasts from the Archives-Old School R&B & Hip-Hop,379,Specialty,Star,"Reminisce with broadcasts from the archives of old school R&B and Hip-Hop from the 80's, 70's, 90's, 00's.",8 174
7,Saturday Sports Spotlight,346,,,"The most fresh, witty, opinionated take on sports today. You won't find any show like it in the Capital District. It is the Longest Sports Talk program in the Capital Region. SATURDAY SPORTS SPOTLIGHT!!!",18
8,FILLER,435,Rock,Pick,it's the end of radio the last announcer plays the last record the last watt leaves the transmitter circles the globe in search of a listener...,19
9,White Lies,403,Rock,Pick,a multi-faceted rock show,21
10,The Wednesday Night Mix Up,406,Hip-Hop/R&B,Microphone,,24
11,The Healing Room,405,,,"The Healing Room is to inspire, and encourage all listeners through the Word of GOD, song, and through words of exhortation from the Healing Room's monthly newsletter.",25
12,The Other Side of Sir Walford,362,World,Globe,,36
13,The Love Connection...In French,660,Hip-Hop/R&B,Microphone,just tune in 90.9fm,41 172
14,Soft Horizons-Today's New Smooth R&B,379,Hip-Hop/R&B,Microphone,Hear the top new smooth R&B songs in the country today. Take it easy on a Saturday morning by staying on top of the today's biggest smooth R&B songs sprinkled with a few of yesterday's smooth R&B classics.,46
15,Caribbean Music Show,391,World,Globe,"Elevating the quality of WCDB with over 17 years of experience in radio and 14 years at this current slot doing Caribbean and World Beat music specializing in Root and Rock Reggae, Mike Irry is one to listen in for.",49
16,TGIF Jazz Party,385,Jazz,Note,It's the TGIF Jazz Party! Tune in!,50
17,The Saturday Morning Edition of Jazz,387,Jazz,Note,"The Capital District's best in jazz, since 1985. This award winning show (Best Jazz DJ - Metroland) is a great mix of classic and new mainstream jazz.",52
18,Brown Eyed Girl,421,,,Eclectic mix of ROCK!!!,57
19,Alternoize,456,Electronic,Sliders,"Industrial, noise, ebm, idm, gothic format show",66
20,The Many Moods of Sir Walford,362,World,Globe,"With over 27 years of experience bringing Reggae music to the people of Albany, Sir Walford and his many moods bring you Reggae along with Latin, Jazz, Gospel, R&B, Swing and Oldies. Give him a listen.",83
21,Guerilla Grooves,470,,,,86
22,Firefight,473,,,,87
23,Slow Education,469,,,"I was always running, but never fast enough.",88
24,Pure Musical Armageddon,480,Metal,Bolt,The Truest Metal Show in the Capital Region,95
25,Rush Hour Renegades,482,,,,96
26,The Capital District Dance Party,490,,,"Trance, Dance, Techno for your listening pleasure...",101
27,ReggaeMatik,499,,,"Straight tunes for 2 hours live, with little talking.",111
28,Maiden Voyage Jazz Show,485,Jazz,Note,"The main focus of the music is jazz but because jazz has influenced music the world over, I share these influences with my audiences.",115
29,Talk Show 91,503,,,,117
30,Hip Hop Anonymous,488,,,,118
31,The Lachrymal Effect,404,,,,136
32,Rush Hour Renegades,523,,,,138
33,Bud Heavy Radio,522,Rock,Pick,it's a party. get into it.,139
34,Formication,579,Rock,Pick,See the sounds.,246
35,The Contemporary Jazz Cafe-Today's Smooth Jazz & Classic R&B,379,Jazz,Note,Hear the top smooth jazz songs in the country today along with some classic R&B. Enjoy two hours of the best in today's smooth contemporary jazz and classic R&B.,141
36,The Zack B and Mike D Show,535,Rock,Pick,We're gonna rule your ear drums for 2 hours.,145
37,Wire Trip,518,Electronic,Sliders,I'm like a puppy with syphilis,146
38,The Monday Night Mix Up,467,,,,148
39,Get Money Radio,537,Hip-Hop/R&B,Microphone,Get Money Radio. It's all you need to know.,160
40,Radio Raw,538,,,,161
41,WCDB Sports Spotlight,483,Sports,Trophy,"The Spotlight brings our loyal listeners insight into various sports. We cover all major athletic contests, as well as Great Dane Sports!",168
42,Night Shift,438,Hip-Hop/R&B,Microphone,"The illest Hip Hop and R&B on the planet hosted by WCDB's best looking DJ. Sex, Drugs and Rap music all wrapped up in the Plicca Playboy Experience.",175
43,Sound Track to a Headrush,528,Rock,Pick,"i tend to politic on the mic and play awesome music you wont here on those ""other"" stations.",178
44,Movements Radio,495,World,Globe,"With DJ Mr. Customary - It's Roots and Rock Reggae, with the best in new dancehall tunez and unreleased talent both local and international. It's customized music for your listening pleasure!!!",179
45,WCDB Sports,547,Sports,Trophy,"The exclusive home for UAlbany Great Danes Women's Basketball, Women's Volleyball and Men's Lacrosse.",181
46,Talk Show 91,545,,,,182
47,Moonlight,660,Hip-Hop/R&B,Microphone,"Her show - ""Moonlight"" - features more of the best in Hip Hop and R&B. Tune in to find out more...",183
48,Revolution Radio,341,Hip-Hop/R&B,Microphone,,184
49,Hammer time with Seth,512,Rock,Pick,"Two hours of hammer dropping action. A whole lot of face-melting, brain-exploding, mind-numbing, eyeball-eating, folk, rock, and bluegrass.",186
50,!,517,Rock,Pick,"Indie, folk, electronic, experimental, ambient..",187
51,The Wake Up Call,548,,,,195
52,The Five O'Clock Shadow,548,News,Newspaper,,200
53,Return of the D-JEI with P-Money,515,Rock,Pick,"The weeks newest releases in Indie Rock, Electronica, Folk and the Rest.",208
54,Ah Make Ya Famous,497,Hip-Hop/R&B,Microphone,,212
55,Squabble FM,554,Rock,Pick,Catch this week's featured Squabble tape plus sets from the City Beer Hall to start your week off!,219
