"Page slug","Page ID","Page group","Family","Component ID","Position","Component type","Name","Dataset","Setting","Setting label","readyToLoad","Resolved behaviour","Acceptable","In create modal"
"/forms/actions","1686109","spreadsheet page","Actions","2380156","#2","Spreadsheet","(untitled)","Actions_Revised","force","Force (always re-fetch)","true","force","yes","no"
"/forms/actions","1686109","spreadsheet page","Actions","2380157","#3","Card","CREATE A NEW ACTION","Actions_Revised","unset","No setting selected","true","smart","yes","yes (create)"
"/forms/actions/edit","1686224","spreadsheet page","Actions","2380169","#1","Card","(untitled)","Actions_Revised","force","Force (always re-fetch)","true","force","yes","no"
"/forms/actions/edit","1686224","spreadsheet page","Actions","2380171","#3","Spreadsheet","(untitled)","Actions_Revised","force","Force (always re-fetch)","true","force","yes","no"
"/forms/actions/edit","1686224","spreadsheet page","Actions","2380172","#4","Card","CREATE A NEW ACTION","Actions_Revised","unset","No setting selected","true","smart","yes","yes (create)"
"/forms/actions/edit_simple","1699496","spreadsheet page","Actions","2380164","#1","Card","(untitled)","Actions_Revised","force","Force (always re-fetch)","true","force","yes","no"
"/forms/actions/edit_simple","1699496","spreadsheet page","Actions","2380166","#3","Spreadsheet","(untitled)","Actions_Revised","force","Force (always re-fetch)","true","force","yes","no"
"/forms/actions/edit_simple","1699496","spreadsheet page","Actions","2380167","#4","Card","CREATE A NEW ACTION","Actions_Revised","unset","No setting selected","true","smart","yes","yes (create)"
"/forms/capabilities","1690288","spreadsheet page","Capabilities","2388985","#1","Spreadsheet","(untitled)","Capabilities_Catalogue","force","Force (always re-fetch)","true","force","yes","no"
"/forms/capabilities","1690288","spreadsheet page","Capabilities","2388988","#4","Card","(untitled)","Capabilities_Catalogue","unset","No setting selected","true","smart","yes","yes (create)"
"/forms/capabilities/edit_simple","1696914","spreadsheet page","Capabilities","2386869","#1","Spreadsheet","(untitled)","Capabilities_Catalogue","force","Force (always re-fetch)","","force","yes","no"
"/forms/capabilities/edit_simple","1696914","spreadsheet page","Capabilities","2386872","#4","Card","(untitled)","Capabilities_Catalogue","unset","No setting selected","true","smart","yes","yes (create)"
"/forms/hazards_of_concern","1444290","spreadsheet page","Hazards of Concern","2386876","#0","Spreadsheet","(untitled)","Hazards_of_Concern","force","Force (always re-fetch)","true","force","yes","no"
"/forms/hazards_of_concern","1444290","spreadsheet page","Hazards of Concern","2386878","#2","Card","(untitled)","Hazards_of_Concern","unset","No setting selected","true","smart","yes","yes (create)"
"/forms/hazards_of_concern/edit","1702741","spreadsheet page","Hazards of Concern","2380098","#0","Spreadsheet","(untitled)","Hazards_of_Concern","force","Force (always re-fetch)","true","force","yes","no"
"/forms/hazards_of_concern/edit","1702741","spreadsheet page","Hazards of Concern","2380100","#2","Card","(untitled)","Hazards_of_Concern","unset","No setting selected","true","smart","yes","yes (create)"
"/forms/participation","1444280","spreadsheet page","Participation","2386881","#0","Spreadsheet","(untitled)","Participation","force","Force (always re-fetch)","true","force","yes","no"
"/forms/participation","1444280","spreadsheet page","Participation","2386883","#2","Card","(untitled)","Participation","unset","No setting selected","true","smart","yes","yes (create)"
"/forms/participation/edit","1714399","spreadsheet page","Participation","2380076","#0","Spreadsheet","(untitled)","Participation","smart","Smart (fetch on change)","true","smart","yes","no"
"/forms/participation/edit","1714399","spreadsheet page","Participation","2380078","#2","Card","(untitled)","Participation","unset","No setting selected","true","smart","yes","yes (create)"
"/forms/roles","1444244","spreadsheet page","Roles","2386884","#0","Spreadsheet","(untitled)","Roles","force","Force (always re-fetch)","true","force","yes","no"
"/forms/roles","1444244","spreadsheet page","Roles","2386886","#2","Card","(untitled)","Roles","unset","No setting selected","true","smart","yes","yes (create)"
"/forms/roles/edit","1715553","spreadsheet page","Roles","2386887","#0","Spreadsheet","(untitled)","Roles","force","Force (always re-fetch)","true","force","yes","no"
