"Fix ID","Type","Type name","Family","Page","Page slug","Page ID","Component ID","Where stored","Current value","Change to","Why","Effort","Live today","Status","Assigned to","Date fixed","Notes"
"T1-001","1","Dropped sections — delete these component rows","Home","Home","/home","566463","2386398","group ""header"" · published","component 2386398 — Header: Default Header","delete the component row from the database","published into a group the page does not declare, so the renderer skips it; the published copy","db delete","no","","","",""
"T1-002","1","Dropped sections — delete these component rows","Home","Home","/home","566463","2386399","group ""3e786688-57d2-4b4c-aa98-381220382a1a"" · published","component 2386399 — lexical","delete the component row from the database","published into a group the page does not declare, so the renderer skips it; the published copy","db delete","no","","","",""
"T1-003","1","Dropped sections — delete these component rows","Home","Home","/home","566463","2386419","group ""1c1a2e18-1c88-4e64-ad59-d3d7d2d91fcb"" · published","component 2386419 — lexical · ""Mitigation Measures""","delete the component row from the database","published into a group the page does not declare, so the renderer skips it; the published copy","db delete","no","","","",""
"T1-004","1","Dropped sections — delete these component rows","Home","Home","/home","566463","2386420","group ""1c1a2e18-1c88-4e64-ad59-d3d7d2d91fcb"" · published","component 2386420 — Card on Mitigation_Measures · ""Mitigation Measures by Category""","delete the component row from the database","published into a group the page does not declare, so the renderer skips it; the published copy","db delete","no","","","",""
"T1-005","1","Dropped sections — delete these component rows","Home","Home","/home","566463","2386421","group ""cdff4236-17c0-4ddb-a8ee-e5a7f621484e"" · published","component 2386421 — lexical · ""Policies""","delete the component row from the database","published into a group the page does not declare, so the renderer skips it; the published copy","db delete","no","","","",""
"T1-006","1","Dropped sections — delete these component rows","Home","Home","/home","566463","2386422","group ""cdff4236-17c0-4ddb-a8ee-e5a7f621484e"" · published","component 2386422 — lexical","delete the component row from the database","published into a group the page does not declare, so the renderer skips it; the published copy","db delete","no","","","",""
"T1-007","1","Dropped sections — delete these component rows","Home","Home","/home","566463","2386423","group ""cdff4236-17c0-4ddb-a8ee-e5a7f621484e"" · published","component 2386423 — lexical · ""Number of Policies By Level of Government""","delete the component row from the database","published into a group the page does not declare, so the renderer skips it; the published copy","db delete","no","","","",""
"T1-008","1","Dropped sections — delete these component rows","Home","Home","/home","566463","2386424","group ""cdff4236-17c0-4ddb-a8ee-e5a7f621484e"" · published","component 2386424 — Graph on Policy Database","delete the component row from the database","published into a group the page does not declare, so the renderer skips it; the published copy","db delete","no","","","",""
"T1-009","1","Dropped sections — delete these component rows","Home","Home","/home","566463","2386425","group ""cdff4236-17c0-4ddb-a8ee-e5a7f621484e"" · published","component 2386425 — Graph on Policy Database · ""Policies by Type""","delete the component row from the database","published into a group the page does not declare, so the renderer skips it; the published copy","db delete","no","","","",""
"T1-010","1","Dropped sections — delete these component rows","Home","Home","/home","566463","2386426","group ""9b890fb9-6ccc-44e2-b508-b91987f1aee0"" · published","component 2386426 — lexical · ""Capabilities""","delete the component row from the database","published into a group the page does not declare, so the renderer skips it; the published copy","db delete","no","","","",""
"T1-011","1","Dropped sections — delete these component rows","Home","Home","/home","566463","2386427","group ""9b890fb9-6ccc-44e2-b508-b91987f1aee0"" · published","component 2386427 — Card on Capabilities_Catalogue","delete the component row from the database","published into a group the page does not declare, so the renderer skips it; the published copy","db delete","no","","","",""
"T1-012","1","Dropped sections — delete these component rows","Home","Home","/home","566463","2386428","group ""9b890fb9-6ccc-44e2-b508-b91987f1aee0"" · published","component 2386428 — Card on Capabilities_Catalogue · ""Capabilities by Category""","delete the component row from the database","published into a group the page does not declare, so the renderer skips it; the published copy","db delete","no","","","",""
"T1-013","1","Dropped sections — delete these component rows","Home","Home","/home","566463","2386429","group ""44491ada-b716-4106-b143-2d6aae08b7b6"" · published","component 2386429 — lexical · ""ACTIONS""","delete the component row from the database","published into a group the page does not declare, so the renderer skips it; the published copy","db delete","no","","","",""
"T1-014","1","Dropped sections — delete these component rows","Home","Home","/home","566463","2386430","group ""44491ada-b716-4106-b143-2d6aae08b7b6"" · published","component 2386430 — Card on Actions_Revised","delete the component row from the database","published into a group the page does not declare, so the renderer skips it; the published copy","db delete","no","","","",""
"T1-015","1","Dropped sections — delete these component rows","Home","Home","/home","566463","2386431","group ""44491ada-b716-4106-b143-2d6aae08b7b6"" · published","component 2386431 — Card on Actions_Revised · ""Actions by Progress""","delete the component row from the database","published into a group the page does not declare, so the renderer skips it; the published copy","db delete","no","","","",""
"T1-016","1","Dropped sections — delete these component rows","Home","Home","/home","566463","2386432","group ""44491ada-b716-4106-b143-2d6aae08b7b6"" · published","component 2386432 — Card on Actions_Revised · ""Actions by Category""","delete the component row from the database","published into a group the page does not declare, so the renderer skips it; the published copy","db delete","no","","","",""
