Component ID,Cause,Why it does not render,Page it belonged to,Page ID,Section title,Component kind,Created,Last edited,Abandoned block size,Replaced by (live component ID),Replacement match basis
2100483,Belongs to another pattern,"its parent is a page in another pattern (mitigat-ny-prod+redesign), not the county template",(page 1108193 no longer exists),1108193,Open Space Statistics,lexical,2026-04-06 18:32:11,2026-04-06 18:32:11,1,,
2242972,Belongs to another pattern,"its parent is a page in another pattern (mitigat-ny-prod+redesign), not the county template",(page 1108193 no longer exists),1108193,Open Space Statistics,lexical,2026-06-23 18:19:04,2026-06-23 18:19:04,1,,
2257999,Belongs to another pattern,"its parent is a page in another pattern (mitigat-ny-prod+redesign), not the county template",(page 1108193 no longer exists),1108193,Open Space Statistics,lexical,2026-07-01 18:02:10,2026-07-01 18:02:10,1,,
2179435,Belongs to another pattern,"its parent is a page in another pattern (mitigat-ny-prod+redesign), not the county template",(page 1130757 no longer exists),1130757,State Mitigation Capabilities,Spreadsheet,2026-06-15 14:27:09,2026-06-15 14:27:09,4,,
2179461,Belongs to another pattern,"its parent is a page in another pattern (mitigat-ny-prod+redesign), not the county template",(page 1130757 no longer exists),1130757,State Mitigation Capabilities,Spreadsheet,2026-06-15 14:27:10,2026-06-15 14:27:10,4,,
2179482,Belongs to another pattern,"its parent is a page in another pattern (mitigat-ny-prod+redesign), not the county template",(page 1130757 no longer exists),1130757,State Mitigation Capabilities,Spreadsheet,2026-06-15 14:27:12,2026-06-15 14:27:12,4,,
2179506,Belongs to another pattern,"its parent is a page in another pattern (mitigat-ny-prod+redesign), not the county template",(page 1130757 no longer exists),1130757,State Mitigation Capabilities,Spreadsheet,2026-06-15 14:27:12,2026-06-15 14:27:12,4,,
2007875,Belongs to another pattern,"its parent is a page in another pattern (mitigat-ny-prod+0aced1a7-3d54-48c7-a1d7-b68401811ded), not the county template",(page 1438697 no longer exists),1438697,Buildings,Card,2026-03-05 18:29:50,2026-03-05 18:29:50,1,,
2174685,Belongs to another pattern,"its parent is a page in another pattern (mitigat-ny-prod+0aced1a7-3d54-48c7-a1d7-b68401811ded), not the county template",(page 1438697 no longer exists),1438697,Buildings,Card,2026-05-27 14:19:39,2026-05-27 14:19:39,1,,
2174779,Belongs to another pattern,"its parent is a page in another pattern (mitigat-ny-prod+0aced1a7-3d54-48c7-a1d7-b68401811ded), not the county template",(page 1438697 no longer exists),1438697,Buildings,Card,2026-05-27 14:29:45,2026-05-27 14:29:45,1,,
2243095,Belongs to another pattern,"its parent is a page in another pattern (mitigat-ny-prod+0aced1a7-3d54-48c7-a1d7-b68401811ded), not the county template",(page 1438697 no longer exists),1438697,Buildings,Card,2026-06-23 18:47:26,2026-06-23 18:47:26,1,,
2243188,Belongs to another pattern,"its parent is a page in another pattern (mitigat-ny-prod+0aced1a7-3d54-48c7-a1d7-b68401811ded), not the county template",(page 1438697 no longer exists),1438697,Buildings,Card,2026-06-23 18:55:58,2026-06-23 18:55:58,1,,
2243372,Belongs to another pattern,"its parent is a page in another pattern (mitigat-ny-prod+0aced1a7-3d54-48c7-a1d7-b68401811ded), not the county template",(page 1438697 no longer exists),1438697,Buildings,Card,2026-06-23 19:02:09,2026-06-23 19:02:09,1,,
2243464,Belongs to another pattern,"its parent is a page in another pattern (mitigat-ny-prod+0aced1a7-3d54-48c7-a1d7-b68401811ded), not the county template",(page 1438697 no longer exists),1438697,Buildings,Card,2026-06-23 19:20:26,2026-06-23 19:20:26,2,,
2243555,Belongs to another pattern,"its parent is a page in another pattern (mitigat-ny-prod+0aced1a7-3d54-48c7-a1d7-b68401811ded), not the county template",(page 1438697 no longer exists),1438697,Buildings,Card,2026-06-23 19:20:33,2026-06-23 19:20:33,2,,
2262355,Belongs to another pattern,"its parent is a page in another pattern (mitigat-ny-prod+0aced1a7-3d54-48c7-a1d7-b68401811ded), not the county template",(page 1438697 no longer exists),1438697,Buildings,Card,2026-07-09 15:37:43,2026-07-09 15:37:43,1,,
2369423,Belongs to another pattern,"its parent is a page in another pattern (mitigat-ny-prod+0aced1a7-3d54-48c7-a1d7-b68401811ded), not the county template",(page 1438697 no longer exists),1438697,Buildings,Card,2026-08-07 17:11:17,2026-08-07 17:11:17,1,,
2369514,Belongs to another pattern,"its parent is a page in another pattern (mitigat-ny-prod+0aced1a7-3d54-48c7-a1d7-b68401811ded), not the county template",(page 1438697 no longer exists),1438697,Buildings,Card,2026-08-07 17:12:50,2026-08-07 17:12:50,1,,
2369783,Belongs to another pattern,"its parent is a page in another pattern (mitigat-ny-prod+0aced1a7-3d54-48c7-a1d7-b68401811ded), not the county template",(page 1438697 no longer exists),1438697,Buildings,Card,2026-08-07 17:30:51,2026-08-07 17:30:51,1,,
2369942,Belongs to another pattern,"its parent is a page in another pattern (mitigat-ny-prod+0aced1a7-3d54-48c7-a1d7-b68401811ded), not the county template",(page 1438697 no longer exists),1438697,Buildings,Card,2026-08-07 18:26:18,2026-08-07 18:26:18,1,,
2370033,Belongs to another pattern,"its parent is a page in another pattern (mitigat-ny-prod+0aced1a7-3d54-48c7-a1d7-b68401811ded), not the county template",(page 1438697 no longer exists),1438697,Buildings,Card,2026-08-07 18:51:06,2026-08-07 18:51:06,1,,
