Fix ID,Type,Type name,Tier,Fix category,Page URL,Page,Page ID,Section title,Draft section ID,Component kind,Config shape,Source,Current tags,What is wrong,Recommended fix,Status,Assigned to,Date fixed,User Relevance,User Notes,Notes
QA2-001,1,Tag record disagrees with platform,1,Investigation,https://county_template.devmny.org/the_risk/natural_hazards/avalanche,the_risk/natural_hazards/avalanche,1544721,(untitled),2176931,Card,v2,Hazards_of_Concern,,"workbook row T5-351 is Status=Closed / Notes=Needs Tag / Date fixed=2026-08-28, but the live section has tags=""""",Reconcile before writing: confirm whether the workbook Draft section ID is stale or the tag write did not land. Do not re-apply blind.,Open,,,Irrelevant,"User excluded tags here because they break the design, but the requirements were met elsewhere. This can be flagged as a non-issue not.","No same-page section shares this trackingId, so the ""tag landed on a re-added twin"" explanation was tested and does not hold."
QA2-002,1,Tag record disagrees with platform,1,Investigation,https://county_template.devmny.org/the_risk/natural_hazards/avalanche,the_risk/natural_hazards/avalanche,1544721,(untitled),2176932,Card,v2,NRI Counties - Hazard Normalized,,"workbook row T5-352 is Status=Closed / Notes=Needs Tag / Date fixed=2026-08-28, but the live section has tags=""""",Reconcile before writing: confirm whether the workbook Draft section ID is stale or the tag write did not land. Do not re-apply blind.,Open,,,Irrelevant,"User excluded tags here because they break the design, but the requirements were met elsewhere. This can be flagged as a non-issue not.","No same-page section shares this trackingId, so the ""tag landed on a re-added twin"" explanation was tested and does not hold."
QA2-003,1,Tag record disagrees with platform,1,Investigation,https://county_template.devmny.org/the_risk/natural_hazards/avalanche,the_risk/natural_hazards/avalanche,1544721,(untitled),2176933,Card,v2,AVAIL - Fusion Events V2,,"workbook row T5-353 is Status=Closed / Notes=Needs Tag / Date fixed=2026-08-28, but the live section has tags=""""",Reconcile before writing: confirm whether the workbook Draft section ID is stale or the tag write did not land. Do not re-apply blind.,Open,,,Irrelevant,"User excluded tags here because they break the design, but the requirements were met elsewhere. This can be flagged as a non-issue not.","No same-page section shares this trackingId, so the ""tag landed on a re-added twin"" explanation was tested and does not hold."
QA2-004,1,Tag record disagrees with platform,1,Investigation,https://county_template.devmny.org/the_risk/natural_hazards/coastal_hazards,the_risk/natural_hazards/coastal_hazards,1544317,(untitled),1676739,Card,v2,Hazards_of_Concern,,"workbook row T5-382 is Status=Closed / Notes=Needs Tag / Date fixed=2026-08-28, but the live section has tags=""""",Reconcile before writing: confirm whether the workbook Draft section ID is stale or the tag write did not land. Do not re-apply blind.,Open,,,Irrelevant,"User excluded tags here because they break the design, but the requirements were met elsewhere. This can be flagged as a non-issue not.","No same-page section shares this trackingId, so the ""tag landed on a re-added twin"" explanation was tested and does not hold."
QA2-005,1,Tag record disagrees with platform,1,Investigation,https://county_template.devmny.org/the_risk/natural_hazards/coastal_hazards,the_risk/natural_hazards/coastal_hazards,1544317,(untitled),1544197,Card,v2,NRI Counties - Hazard Normalized,,"workbook row T5-385 is Status=Closed / Notes=Needs Tag / Date fixed=2026-08-28, but the live section has tags=""""",Reconcile before writing: confirm whether the workbook Draft section ID is stale or the tag write did not land. Do not re-apply blind.,Open,,,Irrelevant,"User excluded tags here because they break the design, but the requirements were met elsewhere. This can be flagged as a non-issue not.","No same-page section shares this trackingId, so the ""tag landed on a re-added twin"" explanation was tested and does not hold."
QA2-006,1,Tag record disagrees with platform,1,Investigation,https://county_template.devmny.org/the_risk/natural_hazards/coastal_hazards,the_risk/natural_hazards/coastal_hazards,1544317,(untitled),1544198,Card,v2,AVAIL - Fusion Events V2,,"workbook row T5-383 is Status=Closed / Notes=Needs Tag / Date fixed=2026-08-28, but the live section has tags=""""",Reconcile before writing: confirm whether the workbook Draft section ID is stale or the tag write did not land. Do not re-apply blind.,Open,,,Irrelevant,"User excluded tags here because they break the design, but the requirements were met elsewhere. This can be flagged as a non-issue not.","No same-page section shares this trackingId, so the ""tag landed on a re-added twin"" explanation was tested and does not hold."
QA2-007,1,Tag record disagrees with platform,1,Investigation,https://county_template.devmny.org/the_risk/natural_hazards/drought,the_risk/natural_hazards/drought,1545217,(untitled),1898195,Card,v2,Hazards_of_Concern,,"workbook row T5-414 is Status=Closed / Notes=Needs Tag / Date fixed=2026-08-28, but the live section has tags=""""",Reconcile before writing: confirm whether the workbook Draft section ID is stale or the tag write did not land. Do not re-apply blind.,Open,,,Irrelevant,"User excluded tags here because they break the design, but the requirements were met elsewhere. This can be flagged as a non-issue not.","No same-page section shares this trackingId, so the ""tag landed on a re-added twin"" explanation was tested and does not hold."
QA2-008,1,Tag record disagrees with platform,1,Investigation,https://county_template.devmny.org/the_risk/natural_hazards/drought,the_risk/natural_hazards/drought,1545217,(untitled),1898196,Card,v2,NRI Counties - Hazard Normalized,,"workbook row T5-415 is Status=Closed / Notes=Needs Tag / Date fixed=2026-08-28, but the live section has tags=""""",Reconcile before writing: confirm whether the workbook Draft section ID is stale or the tag write did not land. Do not re-apply blind.,Open,,,Irrelevant,"User excluded tags here because they break the design, but the requirements were met elsewhere. This can be flagged as a non-issue not.","No same-page section shares this trackingId, so the ""tag landed on a re-added twin"" explanation was tested and does not hold."
QA2-009,1,Tag record disagrees with platform,1,Investigation,https://county_template.devmny.org/the_risk/natural_hazards/drought,the_risk/natural_hazards/drought,1545217,(untitled),1898197,Card,v2,AVAIL - Fusion Events V2,,"workbook row T5-416 is Status=Closed / Notes=Needs Tag / Date fixed=2026-08-28, but the live section has tags=""""",Reconcile before writing: confirm whether the workbook Draft section ID is stale or the tag write did not land. Do not re-apply blind.,Open,,,Irrelevant,"User excluded tags here because they break the design, but the requirements were met elsewhere. This can be flagged as a non-issue not.","No same-page section shares this trackingId, so the ""tag landed on a re-added twin"" explanation was tested and does not hold."
QA2-010,1,Tag record disagrees with platform,1,Investigation,https://county_template.devmny.org/the_risk/natural_hazards/earthquake,the_risk/natural_hazards/earthquake,1544597,(untitled),1676741,Card,v2,Hazards_of_Concern,,"workbook row T5-445 is Status=Closed / Notes=Needs Tag / Date fixed=2026-08-28, but the live section has tags=""""",Reconcile before writing: confirm whether the workbook Draft section ID is stale or the tag write did not land. Do not re-apply blind.,Open,,,Irrelevant,"User excluded tags here because they break the design, but the requirements were met elsewhere. This can be flagged as a non-issue not.","No same-page section shares this trackingId, so the ""tag landed on a re-added twin"" explanation was tested and does not hold."
