Fix ID,Disposition,Class,Class name,Tier,Fix category,Page URL,Page,Page ID,Section title,Draft section ID,Component kind,Config shape,Source,Current tags,What is wrong,Recommended fix,Status,Assigned to,Date fixed,Notes
QA2-240,Ranked,R4,No requirement tag,2,Component setting,https://county_template.devmny.org/the_local_environment/high_hazard_dams,the_local_environment/high_hazard_dams,1300814,Local Context,1657662,lexical,none,,,"titled, visible section with no Section Settings > Tags value, and not in any work list","Assign the 44 CFR 201.6 element this section satisfies (comma-joined, no spaces), matching the tagged siblings on the same page.",Open,,,Never listed in the T5 workbook - the fresh hideInView-aware scan that task lists as outstanding.
QA2-241,Ranked,R4,No requirement tag,2,Component setting,https://county_template.devmny.org/the_local_environment/natural_environment,the_local_environment/natural_environment,1300819,County Open Space Plan,1703876,lexical,none,,,"titled, visible section with no Section Settings > Tags value, and not in any work list","Assign the 44 CFR 201.6 element this section satisfies (comma-joined, no spaces), matching the tagged siblings on the same page.",Open,,,Never listed in the T5 workbook - the fresh hideInView-aware scan that task lists as outstanding.
QA2-242,Ranked,R4,No requirement tag,2,Component setting,https://county_template.devmny.org/the_plan/about_the_process,the_plan/about_the_process,1300807,Other Related Planning Processes,1515074,lexical,none,,,"titled, visible section with no Section Settings > Tags value, and not in any work list","Assign the 44 CFR 201.6 element this section satisfies (comma-joined, no spaces), matching the tagged siblings on the same page.",Open,,,Never listed in the T5 workbook - the fresh hideInView-aware scan that task lists as outstanding.
QA2-244,Ranked,R4,No requirement tag,2,Component setting,https://county_template.devmny.org/the_plan/jurisdictional_annexes/select_jurisdiction,the_plan/jurisdictional_annexes/select_jurisdiction,1348541,Buildings in The Floodplain,1920837,Spreadsheet,v1,BILD 2026 Simplified Draft V1,,"titled, visible section with no Section Settings > Tags value, and not in any work list","Assign the 44 CFR 201.6 element this section satisfies (comma-joined, no spaces), matching the tagged siblings on the same page.",Open,,,Never listed in the T5 workbook - the fresh hideInView-aware scan that task lists as outstanding.
QA2-245,Ranked,R4,No requirement tag,2,Component setting,https://county_template.devmny.org/the_plan/jurisdictional_annexes/select_jurisdiction,the_plan/jurisdictional_annexes/select_jurisdiction,1348541,Critical Buildings in The Floodplain,1920935,Spreadsheet,v1,BILD 2026 Simplified Draft V1,,"titled, visible section with no Section Settings > Tags value, and not in any work list","Assign the 44 CFR 201.6 element this section satisfies (comma-joined, no spaces), matching the tagged siblings on the same page.",Open,,,Never listed in the T5 workbook - the fresh hideInView-aware scan that task lists as outstanding.
QA2-246,Ranked,R4,No requirement tag,2,Component setting,https://county_template.devmny.org/the_plan/jurisdictional_annexes/select_jurisdiction,the_plan/jurisdictional_annexes/select_jurisdiction,1348541,Cascading Impacts from Hazards,1684993,Card,v1,Jurisdictions,,"titled, visible section with no Section Settings > Tags value, and not in any work list","Assign the 44 CFR 201.6 element this section satisfies (comma-joined, no spaces), matching the tagged siblings on the same page.",Open,,,Never listed in the T5 workbook - the fresh hideInView-aware scan that task lists as outstanding.
QA2-247,Ranked,R4,No requirement tag,2,Component setting,https://county_template.devmny.org/the_plan/jurisdictional_annexes/select_jurisdiction,the_plan/jurisdictional_annexes/select_jurisdiction,1348541,Other Hazards,1499931,Card,v1,Jurisdictions,,"titled, visible section with no Section Settings > Tags value, and not in any work list","Assign the 44 CFR 201.6 element this section satisfies (comma-joined, no spaces), matching the tagged siblings on the same page.",Open,,,Never listed in the T5 workbook - the fresh hideInView-aware scan that task lists as outstanding.
QA2-248,Ranked,R4,No requirement tag,2,Component setting,https://county_template.devmny.org/the_plan/jurisdictional_annexes/select_jurisdiction,the_plan/jurisdictional_annexes/select_jurisdiction,1348541,Additional Context (Strategy),1499254,Card,v1,Jurisdictions,,"titled, visible section with no Section Settings > Tags value, and not in any work list","Assign the 44 CFR 201.6 element this section satisfies (comma-joined, no spaces), matching the tagged siblings on the same page.",Open,,,Never listed in the T5 workbook - the fresh hideInView-aware scan that task lists as outstanding.
QA2-249,Ranked,R4,No requirement tag,2,Component setting,https://county_template.devmny.org/the_plan/jurisdictional_annexes/select_jurisdiction,the_plan/jurisdictional_annexes/select_jurisdiction,1348541,Additional Context (Progress),1499264,Card,v1,Jurisdictions,,"titled, visible section with no Section Settings > Tags value, and not in any work list","Assign the 44 CFR 201.6 element this section satisfies (comma-joined, no spaces), matching the tagged siblings on the same page.",Open,,,Never listed in the T5 workbook - the fresh hideInView-aware scan that task lists as outstanding.
QA2-534,Ranked,R5,Deprecated column bound but not rendered,3,Component setting,https://county_template.devmny.org/the_plan/about_the_process,the_plan/about_the_process,1300807,County Capabilities Table,1685651,Spreadsheet,v2,Capabilities_Catalogue,"A1-a,A4-a","bound to Capabilities_Catalogue column whose live title is ""(Delete) FEMA - Planning & Regulatory""; column is hidden and not filtered","Unbind the deprecated column, or migrate to its replacement. Latent today, but it is the same steward instruction as R1.",Open,,,Marker is on the live source only; the component still stores the old title.
