Component ID,Page URL,Page,Section title,Type,Source,View,Stored fetch mode,readyToLoad,Resolved behaviour,Fix category,Recommended fix,Status,Assigned to,Date fixed,Notes
2178591,https://county_template.devmny.org/the_risk/climate_change,the_risk/climate_change,Overview,Card,LHMP_IA,1441681,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2178592,https://county_template.devmny.org/the_risk/climate_change,the_risk/climate_change,(untitled Card),Card,LHMP_IA,1441681,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2178619,https://county_template.devmny.org/the_risk,the_risk,Overview,Card,LHMP_IA,1441681,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2178620,https://county_template.devmny.org/the_risk,the_risk,Requirements,Card,LHMP_IA,1441681,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2257906,https://county_template.devmny.org/the_local_environment/people_and_communities,the_local_environment/people_and_communities,Overview,Card,LHMP_IA,1441681,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2257910,https://county_template.devmny.org/the_local_environment/people_and_communities,the_local_environment/people_and_communities,Demographic Statistics,Card,src 1482,1962,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2257912,https://county_template.devmny.org/the_local_environment/people_and_communities,the_local_environment/people_and_communities,Populations at Highest Risk,Card,LHMP_IA,1441681,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2257917,https://county_template.devmny.org/the_local_environment/people_and_communities,the_local_environment/people_and_communities,Social Vulnerability Map Overview,Card,LHMP_IA,1441681,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2257920,https://county_template.devmny.org/the_local_environment/people_and_communities,the_local_environment/people_and_communities,Population Change and Hazard Risk,Card,LHMP_IA,1441681,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
2257922,https://county_template.devmny.org/the_local_environment/people_and_communities,the_local_environment/people_and_communities,Economic and Development Trends,Card,LHMP_IA,1441681,(null),true,default - re-queries on mount,Component setting,Section Settings > Data > Fetch Mode: set explicitly once a pattern-wide default is agreed.,,,,
