Fix ID,Type,Type name,Tier,Fix category,Scope,Page URL,Page,Section title,Component ID,Component kind,What is wrong,Recommended fix,Fix group,Status,Assigned to,Date fixed,Notes
T1-001,1,SHMP narrative not permission-locked,Governance,Component setting,component,https://county_template.devmny.org/the_local_environment,the_local_environment,Requirements,2100376,Card on LHMP_IA,NO PERMISSIONS SET  -  anyone with edit rights can change it,"Section Settings > Permissions: set authPermissions to {""users"":{},""groups"":{""LHMP Template Editor"":[""*""]}}  -  the value already on the other 290 LHMP_IA sections.",LHMP_IA edit lock,,,,
T1-002,1,SHMP narrative not permission-locked,Governance,Component setting,component,https://county_template.devmny.org/the_plan/jurisdictional_annexes/jurisdictional_annex_form,the_plan/jurisdictional_annexes/jurisdictional_annex_form,Progress,2262510,Card on LHMP_IA,NO PERMISSIONS SET  -  anyone with edit rights can change it,"Section Settings > Permissions: set authPermissions to {""users"":{},""groups"":{""LHMP Template Editor"":[""*""]}}  -  the value already on the other 290 LHMP_IA sections.",LHMP_IA edit lock,,,,
T1-003,1,SHMP narrative not permission-locked,Governance,Component setting,component,https://county_template.devmny.org/the_local_environment/built_environment,the_local_environment/built_environment,Overview,2341172,Card on LHMP_IA,NO PERMISSIONS SET  -  anyone with edit rights can change it,"Section Settings > Permissions: set authPermissions to {""users"":{},""groups"":{""LHMP Template Editor"":[""*""]}}  -  the value already on the other 290 LHMP_IA sections.",LHMP_IA edit lock,,,,
T1-004,1,SHMP narrative not permission-locked,Governance,Component setting,component,https://county_template.devmny.org/the_plan/about_the_process,the_plan/about_the_process,The Planning Process,2386703,Card on LHMP_IA,NO PERMISSIONS SET  -  anyone with edit rights can change it,"Section Settings > Permissions: set authPermissions to {""users"":{},""groups"":{""LHMP Template Editor"":[""*""]}}  -  the value already on the other 290 LHMP_IA sections.",LHMP_IA edit lock,,,,
T1-005,1,SHMP narrative not permission-locked,Governance,Component setting,component,https://county_template.devmny.org/the_plan/about_the_process,the_plan/about_the_process,Local Resources,2386720,Card on LHMP_IA,NO PERMISSIONS SET  -  anyone with edit rights can change it,"Section Settings > Permissions: set authPermissions to {""users"":{},""groups"":{""LHMP Template Editor"":[""*""]}}  -  the value already on the other 290 LHMP_IA sections.",LHMP_IA edit lock,,,,
T1-006,1,SHMP narrative not permission-locked,Governance,Component setting,component,https://county_template.devmny.org/the_plan/about_the_process,the_plan/about_the_process,(untitled Card),2386725,Card on LHMP_IA,NO PERMISSIONS SET  -  anyone with edit rights can change it,"Section Settings > Permissions: set authPermissions to {""users"":{},""groups"":{""LHMP Template Editor"":[""*""]}}  -  the value already on the other 290 LHMP_IA sections.",LHMP_IA edit lock,,,,
T1-007,1,SHMP narrative not permission-locked,Governance,Component setting,component,https://county_template.devmny.org/the_plan/about_the_process,the_plan/about_the_process,Maintenance,2386730,Card on LHMP_IA,NO PERMISSIONS SET  -  anyone with edit rights can change it,"Section Settings > Permissions: set authPermissions to {""users"":{},""groups"":{""LHMP Template Editor"":[""*""]}}  -  the value already on the other 290 LHMP_IA sections.",LHMP_IA edit lock,,,,
T1-008,1,SHMP narrative not permission-locked,Governance,Component setting,component,https://county_template.devmny.org/the_plan/jurisdictional_annexes/select_jurisdiction,the_plan/jurisdictional_annexes/select_jurisdiction,Progress,2379130,Card on LHMP_IA,NO PERMISSIONS SET  -  anyone with edit rights can change it,"Section Settings > Permissions: set authPermissions to {""users"":{},""groups"":{""LHMP Template Editor"":[""*""]}}  -  the value already on the other 290 LHMP_IA sections.",LHMP_IA edit lock,,,,
T1-009,1,SHMP narrative not permission-locked,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/flooding,the_risk/natural_hazards/flooding,Overview,2384264,Card on LHMP_IA,NO PERMISSIONS SET  -  anyone with edit rights can change it,"Section Settings > Permissions: set authPermissions to {""users"":{},""groups"":{""LHMP Template Editor"":[""*""]}}  -  the value already on the other 290 LHMP_IA sections.",LHMP_IA edit lock,,,,
T1-010,1,SHMP narrative not permission-locked,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/flooding,the_risk/natural_hazards/flooding,Total Events and Losses in $: Declared Disasters and Non-Declared Events,2384279,Card on LHMP_IA,NO PERMISSIONS SET  -  anyone with edit rights can change it,"Section Settings > Permissions: set authPermissions to {""users"":{},""groups"":{""LHMP Template Editor"":[""*""]}}  -  the value already on the other 290 LHMP_IA sections.",LHMP_IA edit lock,,,,
T1-011,1,SHMP narrative not permission-locked,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/flooding,the_risk/natural_hazards/flooding,General Vulnerability,2384273,Card on LHMP_IA,NO PERMISSIONS SET  -  anyone with edit rights can change it,"Section Settings > Permissions: set authPermissions to {""users"":{},""groups"":{""LHMP Template Editor"":[""*""]}}  -  the value already on the other 290 LHMP_IA sections.",LHMP_IA edit lock,,,,
T1-012,1,SHMP narrative not permission-locked,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/flooding,the_risk/natural_hazards/flooding,(untitled Card),2384274,Card on LHMP_IA,NO PERMISSIONS SET  -  anyone with edit rights can change it,"Section Settings > Permissions: set authPermissions to {""users"":{},""groups"":{""LHMP Template Editor"":[""*""]}}  -  the value already on the other 290 LHMP_IA sections.",LHMP_IA edit lock,,,,
T1-013,1,SHMP narrative not permission-locked,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/flooding,the_risk/natural_hazards/flooding,Potential Impacts,2384275,Card on LHMP_IA,NO PERMISSIONS SET  -  anyone with edit rights can change it,"Section Settings > Permissions: set authPermissions to {""users"":{},""groups"":{""LHMP Template Editor"":[""*""]}}  -  the value already on the other 290 LHMP_IA sections.",LHMP_IA edit lock,,,,
T1-014,1,SHMP narrative not permission-locked,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/flooding,the_risk/natural_hazards/flooding,Built Environment,2384310,Card on LHMP_IA,NO PERMISSIONS SET  -  anyone with edit rights can change it,"Section Settings > Permissions: set authPermissions to {""users"":{},""groups"":{""LHMP Template Editor"":[""*""]}}  -  the value already on the other 290 LHMP_IA sections.",LHMP_IA edit lock,,,,
