Fix ID,Likely Fix ID,In R5 report,Disposition,Author action,Why,Page URL,Page,Page ID,Section title,Draft section ID,Component kind,Config shape,Source snapshot key,Source,Live column title,Column name,Stored title,Title stale,Bound index,Bound columns,show,Filtered,Filter entries,Filter detail,Other reference count,Other references,Payload delta,Status,Assigned to,Date fixed,Notes
QA2-534,,Yes,Done - already unbound,None - done,the column is not in this component's columns[] - already removed,https://county_template.devmny.org/the_plan/about_the_process,the_plan/about_the_process,1300807,County Capabilities Table,1685651,Spreadsheet,v2,externalSource,Capabilities_Catalogue,(Delete) FEMA - Planning & Regulatory,planning_regulatory,,,,10,,,,,,,,,,,
QA2-535,,Yes,Done - already unbound,None - done,the column is not in this component's columns[] - already removed,https://county_template.devmny.org/the_plan/about_the_process,the_plan/about_the_process,1300807,County Capabilities Table,1685651,Spreadsheet,v2,externalSource,Capabilities_Catalogue,(Delete) FEMA - Administrative & Technical,administrative_technical,,,,10,,,,,,,,,,,
QA2-536,,Yes,Done - already unbound,None - done,the column is not in this component's columns[] - already removed,https://county_template.devmny.org/the_plan/about_the_process,the_plan/about_the_process,1300807,Jurisdictional Resources and Capabilities,1685653,Spreadsheet,v2,externalSource,Capabilities_Catalogue,(Delete) FEMA - Planning & Regulatory,planning_regulatory,,,,12,,,,,,,,,,,
QA2-537,,Yes,Done - already unbound,None - done,the column is not in this component's columns[] - already removed,https://county_template.devmny.org/the_plan/about_the_process,the_plan/about_the_process,1300807,Jurisdictional Resources and Capabilities,1685653,Spreadsheet,v2,externalSource,Capabilities_Catalogue,(Delete) FEMA - Administrative & Technical,administrative_technical,,,,12,,,,,,,,,,,
QA2-538,,Yes,Done - already unbound,None - done,the column is not in this component's columns[] - already removed,https://county_template.devmny.org/the_plan/about_the_process,the_plan/about_the_process,1300807,Jurisdictional Resources and Capabilities,1685653,Spreadsheet,v2,externalSource,Capabilities_Catalogue,(Delete) FEMA - Financial,financial,,,,12,,,,,,,,,,,
QA2-539,,Yes,Done - already unbound,None - done,the column is not in this component's columns[] - already removed,https://county_template.devmny.org/the_plan/capabilities_assessment,the_plan/capabilities_assessment,1425510,Local Capabilities Table,2418307,Spreadsheet,v2,externalSource,Capabilities_Catalogue,(Delete) FEMA - Planning & Regulatory,planning_regulatory,,,,10,,,,,,,,,,,
QA2-540,,Yes,Done - already unbound,None - done,the column is not in this component's columns[] - already removed,https://county_template.devmny.org/the_plan/capabilities_assessment,the_plan/capabilities_assessment,1425510,Local Capabilities Table,2418422,Spreadsheet,v2,externalSource,Capabilities_Catalogue,(Delete) FEMA - Planning & Regulatory,planning_regulatory,,,,10,,,,,,,,,,,
QA2-541,,Yes,Done - already unbound,None - done,the column is not in this component's columns[] - already removed,https://county_template.devmny.org/the_plan/capabilities_assessment,the_plan/capabilities_assessment,1425510,Local Capabilities Table,1426515,Spreadsheet,v1,externalSource,Capabilities_Catalogue,(Delete) FEMA - Planning & Regulatory,planning_regulatory,,,,10,,,,,,,,,,,
QA2-542,,Yes,Done - already unbound,None - done,the column is not in this component's columns[] - already removed,https://county_template.devmny.org/the_plan/capabilities_assessment,the_plan/capabilities_assessment,1425510,Local Capabilities Table,1426515,Spreadsheet,v1,externalSource,Capabilities_Catalogue,(Delete) FEMA - Education/ Outreach,education_outreach,,,,10,,,,,,,,,,,
QA2-543,,Yes,Done - already unbound,None - done,the column is not in this component's columns[] - already removed,https://county_template.devmny.org/the_plan/capabilities_assessment,the_plan/capabilities_assessment,1425510,State Mitigation Capabilities,1426542,Spreadsheet,v1,externalSource,Capabilities_Catalogue,(Delete) FEMA - Financial,financial,,,,8,,,,,,,,,,,
QA2-544,,Yes,Done - already unbound,None - done,the column is not in this component's columns[] - already removed,https://county_template.devmny.org/the_plan/capabilities_assessment,the_plan/capabilities_assessment,1425510,Local Capabilities Table,2418453,Spreadsheet,v2,externalSource,Capabilities_Catalogue,(Delete) FEMA - Planning & Regulatory,planning_regulatory,,,,10,,,,,,,,,,,
QA2-545,,Yes,Done - already unbound,None - done,the column is not in this component's columns[] - already removed,https://county_template.devmny.org/the_plan/jurisdictional_annexes/select_jurisdiction,the_plan/jurisdictional_annexes/select_jurisdiction,1348541,Local Actions Database,1440813,Spreadsheet,v2,externalSource,Actions_Revised,"Hazards - (no flood, deprecated)","to_jsonb( array_remove (array [ case when data->>'avalanche' is not null and data->>'avalanche' != '' then 'avalanche' end, case when data->>'coastal' is not null and data->>'coastal' != '' then 'coastal hazards' end, case when data->>'extreme_cold' is not null and data->>'extreme_cold' != '' then 'extreme cold' end, case when data->>'drought' is not null and data->>'drought' != '' then 'drought' end, case when data->>'earthquake' is not null and data->>'earthquake' != '' then 'earthquake' end, case when data->>'flood' is not null and data->>'flood' != '' then 'flooding' end, case when data->>'hail' is not null and data->>'hail' != '' then 'hail' end, case when data->>'extreme_heat' is not null and data->>'extreme_heat' != '' then 'extreme heat' end, case when data->>'hurricane' is not null and data->>'hurricane' != '' then 'hurricane' end, case when data->>'ice_storm' is not null and data->>'ice_storm' != '' then 'ice storm' end, case when data->>'landslide' is not null and data->>'landslide' != '' then 'landslide' end, case when data->>'lightning' is not null and data->>'lightning' != '' then 'lightning' end, case when data->>'snowstorm' is not null and data->>'snowstorm' != '' then 'snowstorm' end, case when data->>'tornado' is not null and data->>'tornado' != '' then 'tornado' end, case when data->>'tsunami_seiche' is not null and data->>'tsunami_seiche' != '' then 'tsunami/seiche' end, case when data->>'wildfire' is not null and data->>'wildfire' != '' then 'wildfire' end, case when data->>'wind' is not null and data->>'wind' != '' then 'wind' end, case when data->>'all' is not null and data->>'all' != '' then 'most or all formal hazards' end ], null) )::text as hazards_json",,,,17,,,,,,,,,,,
QA2-546,,Yes,Done - already unbound,None - done,the column is not in this component's columns[] - already removed,https://county_template.devmny.org/the_plan/jurisdictional_annexes/select_jurisdiction,the_plan/jurisdictional_annexes/select_jurisdiction,1348541,Completed Actions Table,2407717,Spreadsheet,v2,externalSource,Actions_Revised,"Hazards - (no flood, deprecated)","to_jsonb( array_remove (array [ case when data->>'avalanche' is not null and data->>'avalanche' != '' then 'avalanche' end, case when data->>'coastal' is not null and data->>'coastal' != '' then 'coastal hazards' end, case when data->>'extreme_cold' is not null and data->>'extreme_cold' != '' then 'extreme cold' end, case when data->>'drought' is not null and data->>'drought' != '' then 'drought' end, case when data->>'earthquake' is not null and data->>'earthquake' != '' then 'earthquake' end, case when data->>'flood' is not null and data->>'flood' != '' then 'flooding' end, case when data->>'hail' is not null and data->>'hail' != '' then 'hail' end, case when data->>'extreme_heat' is not null and data->>'extreme_heat' != '' then 'extreme heat' end, case when data->>'hurricane' is not null and data->>'hurricane' != '' then 'hurricane' end, case when data->>'ice_storm' is not null and data->>'ice_storm' != '' then 'ice storm' end, case when data->>'landslide' is not null and data->>'landslide' != '' then 'landslide' end, case when data->>'lightning' is not null and data->>'lightning' != '' then 'lightning' end, case when data->>'snowstorm' is not null and data->>'snowstorm' != '' then 'snowstorm' end, case when data->>'tornado' is not null and data->>'tornado' != '' then 'tornado' end, case when data->>'tsunami_seiche' is not null and data->>'tsunami_seiche' != '' then 'tsunami/seiche' end, case when data->>'wildfire' is not null and data->>'wildfire' != '' then 'wildfire' end, case when data->>'wind' is not null and data->>'wind' != '' then 'wind' end, case when data->>'all' is not null and data->>'all' != '' then 'most or all formal hazards' end ], null) )::text as hazards_json",,,,18,,,,,,,,,,,
QA2-547,,Yes,Done - already unbound,None - done,the column is not in this component's columns[] - already removed,https://county_template.devmny.org/the_plan/jurisdictional_annexes/select_jurisdiction,the_plan/jurisdictional_annexes/select_jurisdiction,1348541,In Progress Actions Table,2407718,Spreadsheet,v2,externalSource,Actions_Revised,"Hazards - (no flood, deprecated)","to_jsonb( array_remove (array [ case when data->>'avalanche' is not null and data->>'avalanche' != '' then 'avalanche' end, case when data->>'coastal' is not null and data->>'coastal' != '' then 'coastal hazards' end, case when data->>'extreme_cold' is not null and data->>'extreme_cold' != '' then 'extreme cold' end, case when data->>'drought' is not null and data->>'drought' != '' then 'drought' end, case when data->>'earthquake' is not null and data->>'earthquake' != '' then 'earthquake' end, case when data->>'flood' is not null and data->>'flood' != '' then 'flooding' end, case when data->>'hail' is not null and data->>'hail' != '' then 'hail' end, case when data->>'extreme_heat' is not null and data->>'extreme_heat' != '' then 'extreme heat' end, case when data->>'hurricane' is not null and data->>'hurricane' != '' then 'hurricane' end, case when data->>'ice_storm' is not null and data->>'ice_storm' != '' then 'ice storm' end, case when data->>'landslide' is not null and data->>'landslide' != '' then 'landslide' end, case when data->>'lightning' is not null and data->>'lightning' != '' then 'lightning' end, case when data->>'snowstorm' is not null and data->>'snowstorm' != '' then 'snowstorm' end, case when data->>'tornado' is not null and data->>'tornado' != '' then 'tornado' end, case when data->>'tsunami_seiche' is not null and data->>'tsunami_seiche' != '' then 'tsunami/seiche' end, case when data->>'wildfire' is not null and data->>'wildfire' != '' then 'wildfire' end, case when data->>'wind' is not null and data->>'wind' != '' then 'wind' end, case when data->>'all' is not null and data->>'all' != '' then 'most or all formal hazards' end ], null) )::text as hazards_json",,,,18,,,,,,,,,,,
QA2-548,,Yes,Done - already unbound,None - done,the column is not in this component's columns[] - already removed,https://county_template.devmny.org/the_plan/jurisdictional_annexes/select_jurisdiction,the_plan/jurisdictional_annexes/select_jurisdiction,1348541,Proposed Actions Table,2407713,Spreadsheet,v2,externalSource,Actions_Revised,"Hazards - (no flood, deprecated)","to_jsonb( array_remove (array [ case when data->>'avalanche' is not null and data->>'avalanche' != '' then 'avalanche' end, case when data->>'coastal' is not null and data->>'coastal' != '' then 'coastal hazards' end, case when data->>'extreme_cold' is not null and data->>'extreme_cold' != '' then 'extreme cold' end, case when data->>'drought' is not null and data->>'drought' != '' then 'drought' end, case when data->>'earthquake' is not null and data->>'earthquake' != '' then 'earthquake' end, case when data->>'flood' is not null and data->>'flood' != '' then 'flooding' end, case when data->>'hail' is not null and data->>'hail' != '' then 'hail' end, case when data->>'extreme_heat' is not null and data->>'extreme_heat' != '' then 'extreme heat' end, case when data->>'hurricane' is not null and data->>'hurricane' != '' then 'hurricane' end, case when data->>'ice_storm' is not null and data->>'ice_storm' != '' then 'ice storm' end, case when data->>'landslide' is not null and data->>'landslide' != '' then 'landslide' end, case when data->>'lightning' is not null and data->>'lightning' != '' then 'lightning' end, case when data->>'snowstorm' is not null and data->>'snowstorm' != '' then 'snowstorm' end, case when data->>'tornado' is not null and data->>'tornado' != '' then 'tornado' end, case when data->>'tsunami_seiche' is not null and data->>'tsunami_seiche' != '' then 'tsunami/seiche' end, case when data->>'wildfire' is not null and data->>'wildfire' != '' then 'wildfire' end, case when data->>'wind' is not null and data->>'wind' != '' then 'wind' end, case when data->>'all' is not null and data->>'all' != '' then 'most or all formal hazards' end ], null) )::text as hazards_json",,,,18,,,,,,,,,,,
QA2-549,,Yes,Done - already unbound,None - done,the column is not in this component's columns[] - already removed,https://county_template.devmny.org/the_risk/natural_hazards/avalanche,the_risk/natural_hazards/avalanche,1544721,(untitled),2179714,Card,v2,externalSource,Actions_Revised,# Proposed - deprecated,CASE WHEN data->>'action_status' = 'Proposed' THEN 1 else 0 END AS num_proposed,,,,12,,,,,,,,,,,
QA2-550,,Yes,Report defect - title not in source,None - fix the report,"0 columns in externalSource.columns are titled ""# Not Started - deprecated (dep)"" - expected exactly 1. The report quotes a title the source does not carry.",https://county_template.devmny.org/the_risk/natural_hazards/avalanche,the_risk/natural_hazards/avalanche,1544721,(untitled),2179714,Card,v2,externalSource,Actions_Revised,# Not Started - deprecated (dep),,,,,12,,,,,,,,,,,
QA2-551,,Yes,Done - already unbound,None - done,the column is not in this component's columns[] - already removed,https://county_template.devmny.org/the_risk/natural_hazards/coastal_hazards,the_risk/natural_hazards/coastal_hazards,1544317,(untitled),2179715,Card,v2,externalSource,Actions_Revised,# Proposed - deprecated,CASE WHEN data->>'action_status' = 'Proposed' THEN 1 else 0 END AS num_proposed,,,,12,,,,,,,,,,,
QA2-552,,Yes,Report defect - title not in source,None - fix the report,"0 columns in externalSource.columns are titled ""# Not Started - deprecated (dep)"" - expected exactly 1. The report quotes a title the source does not carry.",https://county_template.devmny.org/the_risk/natural_hazards/coastal_hazards,the_risk/natural_hazards/coastal_hazards,1544317,(untitled),2179715,Card,v2,externalSource,Actions_Revised,# Not Started - deprecated (dep),,,,,12,,,,,,,,,,,
QA2-553,,Yes,Done - already unbound,None - done,the column is not in this component's columns[] - already removed,https://county_template.devmny.org/the_risk/natural_hazards/drought,the_risk/natural_hazards/drought,1545217,(untitled),2179717,Card,v2,externalSource,Actions_Revised,# Proposed - deprecated,CASE WHEN data->>'action_status' = 'Proposed' THEN 1 else 0 END AS num_proposed,,,,12,,,,,,,,,,,
QA2-554,,Yes,Report defect - title not in source,None - fix the report,"0 columns in externalSource.columns are titled ""# Not Started - deprecated (dep)"" - expected exactly 1. The report quotes a title the source does not carry.",https://county_template.devmny.org/the_risk/natural_hazards/drought,the_risk/natural_hazards/drought,1545217,(untitled),2179717,Card,v2,externalSource,Actions_Revised,# Not Started - deprecated (dep),,,,,12,,,,,,,,,,,
QA2-555,,Yes,Done - already unbound,None - done,the column is not in this component's columns[] - already removed,https://county_template.devmny.org/the_risk/natural_hazards/earthquake,the_risk/natural_hazards/earthquake,1544597,(untitled),2179719,Card,v2,externalSource,Actions_Revised,# Proposed - deprecated,CASE WHEN data->>'action_status' = 'Proposed' THEN 1 else 0 END AS num_proposed,,,,12,,,,,,,,,,,
QA2-556,,Yes,Report defect - title not in source,None - fix the report,"0 columns in externalSource.columns are titled ""# Not Started - deprecated (dep)"" - expected exactly 1. The report quotes a title the source does not carry.",https://county_template.devmny.org/the_risk/natural_hazards/earthquake,the_risk/natural_hazards/earthquake,1544597,(untitled),2179719,Card,v2,externalSource,Actions_Revised,# Not Started - deprecated (dep),,,,,12,,,,,,,,,,,
QA2-557,,Yes,Done - already unbound,None - done,the column is not in this component's columns[] - already removed,https://county_template.devmny.org/the_risk/natural_hazards/extreme_cold,the_risk/natural_hazards/extreme_cold,1544845,(untitled),1544839,Card,v2,externalSource,Actions_Revised,# Proposed - deprecated,CASE WHEN data->>'action_status' = 'Proposed' THEN 1 else 0 END AS num_proposed,,,,12,,,,,,,,,,,
QA2-558,,Yes,Report defect - title not in source,None - fix the report,"0 columns in externalSource.columns are titled ""# Not Started - deprecated (dep)"" - expected exactly 1. The report quotes a title the source does not carry.",https://county_template.devmny.org/the_risk/natural_hazards/extreme_cold,the_risk/natural_hazards/extreme_cold,1544845,(untitled),1544839,Card,v2,externalSource,Actions_Revised,# Not Started - deprecated (dep),,,,,12,,,,,,,,,,,
QA2-559,,Yes,Done - already unbound,None - done,the column is not in this component's columns[] - already removed,https://county_template.devmny.org/the_risk/natural_hazards/extreme_heat,the_risk/natural_hazards/extreme_heat,1544969,(untitled),2179720,Card,v2,externalSource,Actions_Revised,# Proposed - deprecated,CASE WHEN data->>'action_status' = 'Proposed' THEN 1 else 0 END AS num_proposed,,,,12,,,,,,,,,,,
QA2-560,,Yes,Report defect - title not in source,None - fix the report,"0 columns in externalSource.columns are titled ""# Not Started - deprecated (dep)"" - expected exactly 1. The report quotes a title the source does not carry.",https://county_template.devmny.org/the_risk/natural_hazards/extreme_heat,the_risk/natural_hazards/extreme_heat,1544969,(untitled),2179720,Card,v2,externalSource,Actions_Revised,# Not Started - deprecated (dep),,,,,12,,,,,,,,,,,
QA2-561,,Yes,Done - already unbound,None - done,the column is not in this component's columns[] - already removed,https://county_template.devmny.org/the_risk/natural_hazards/flooding,the_risk/natural_hazards/flooding,1450290,(untitled),2179634,Card,v2,externalSource,Actions_Revised,# Proposed - deprecated,CASE WHEN data->>'action_status' = 'Proposed' THEN 1 else 0 END AS num_proposed,,,,12,,,,,,,,,,,
QA2-562,,Yes,Report defect - title not in source,None - fix the report,"0 columns in externalSource.columns are titled ""# Not Started - deprecated (dep)"" - expected exactly 1. The report quotes a title the source does not carry.",https://county_template.devmny.org/the_risk/natural_hazards/flooding,the_risk/natural_hazards/flooding,1450290,(untitled),2179634,Card,v2,externalSource,Actions_Revised,# Not Started - deprecated (dep),,,,,12,,,,,,,,,,,
QA2-563,,Yes,Done - already unbound,None - done,the column is not in this component's columns[] - already removed,https://county_template.devmny.org/the_risk/natural_hazards/hail,the_risk/natural_hazards/hail,1545093,(untitled),2179722,Card,v2,externalSource,Actions_Revised,# Proposed - deprecated,CASE WHEN data->>'action_status' = 'Proposed' THEN 1 else 0 END AS num_proposed,,,,12,,,,,,,,,,,
QA2-564,,Yes,Report defect - title not in source,None - fix the report,"0 columns in externalSource.columns are titled ""# Not Started - deprecated (dep)"" - expected exactly 1. The report quotes a title the source does not carry.",https://county_template.devmny.org/the_risk/natural_hazards/hail,the_risk/natural_hazards/hail,1545093,(untitled),2179722,Card,v2,externalSource,Actions_Revised,# Not Started - deprecated (dep),,,,,12,,,,,,,,,,,
QA2-565,,Yes,Done - already unbound,None - done,the column is not in this component's columns[] - already removed,https://county_template.devmny.org/the_risk/natural_hazards/hurricane,the_risk/natural_hazards/hurricane,1545403,(untitled),2179716,Card,v2,externalSource,Actions_Revised,# Proposed - deprecated,CASE WHEN data->>'action_status' = 'Proposed' THEN 1 else 0 END AS num_proposed,,,,12,,,,,,,,,,,
QA2-566,,Yes,Report defect - title not in source,None - fix the report,"0 columns in externalSource.columns are titled ""# Not Started - deprecated (dep)"" - expected exactly 1. The report quotes a title the source does not carry.",https://county_template.devmny.org/the_risk/natural_hazards/hurricane,the_risk/natural_hazards/hurricane,1545403,(untitled),2179716,Card,v2,externalSource,Actions_Revised,# Not Started - deprecated (dep),,,,,12,,,,,,,,,,,
QA2-567,,Yes,Done - already unbound,None - done,the column is not in this component's columns[] - already removed,https://county_template.devmny.org/the_risk/natural_hazards/ice_storm,the_risk/natural_hazards/ice_storm,1545527,(untitled),2179723,Card,v2,externalSource,Actions_Revised,# Proposed - deprecated,CASE WHEN data->>'action_status' = 'Proposed' THEN 1 else 0 END AS num_proposed,,,,12,,,,,,,,,,,
QA2-568,,Yes,Report defect - title not in source,None - fix the report,"0 columns in externalSource.columns are titled ""# Not Started - deprecated (dep)"" - expected exactly 1. The report quotes a title the source does not carry.",https://county_template.devmny.org/the_risk/natural_hazards/ice_storm,the_risk/natural_hazards/ice_storm,1545527,(untitled),2179723,Card,v2,externalSource,Actions_Revised,# Not Started - deprecated (dep),,,,,12,,,,,,,,,,,
QA2-569,,Yes,Done - already unbound,None - done,the column is not in this component's columns[] - already removed,https://county_template.devmny.org/the_risk/natural_hazards/landslide,the_risk/natural_hazards/landslide,1545651,(untitled),2179725,Card,v2,externalSource,Actions_Revised,# Proposed - deprecated,CASE WHEN data->>'action_status' = 'Proposed' THEN 1 else 0 END AS num_proposed,,,,12,,,,,,,,,,,
QA2-570,,Yes,Report defect - title not in source,None - fix the report,"0 columns in externalSource.columns are titled ""# Not Started - deprecated (dep)"" - expected exactly 1. The report quotes a title the source does not carry.",https://county_template.devmny.org/the_risk/natural_hazards/landslide,the_risk/natural_hazards/landslide,1545651,(untitled),2179725,Card,v2,externalSource,Actions_Revised,# Not Started - deprecated (dep),,,,,12,,,,,,,,,,,
QA2-571,,Yes,Done - already unbound,None - done,the column is not in this component's columns[] - already removed,https://county_template.devmny.org/the_risk/natural_hazards/lightning,the_risk/natural_hazards/lightning,1545775,(untitled),2179726,Card,v2,externalSource,Actions_Revised,# Proposed - deprecated,CASE WHEN data->>'action_status' = 'Proposed' THEN 1 else 0 END AS num_proposed,,,,12,,,,,,,,,,,
