Fix ID,Type,Type name,Tier,Fix category,Scope,Page URL,Page,Page ID,Page Relevance,Section title,Draft section ID,Draft section group ID,Draft section group name,Component kind,What is wrong,Recommended fix,Fix group,Status,Assigned to,Date fixed,Notes,Requirement,Requirement source (LHMP_IA row),LHMP_IA section,LHMP_IA component,Match basis,Confidence,Tag exempt,Draft tags (current),V1 published section ID,Draft ID basis
T5-001,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_risk/climate_change,the_risk/climate_change,1300805,(not labelled),(untitled lexical),1696660,default,Group 1,lexical,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,,1686487,Overview,Overview Annotation Card,"LHMP_IA section ""Overview"" (first section on the page)",,Hidden from view,,2178590,positional
T5-002,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_risk/climate_change,the_risk/climate_change,1300805,(not labelled),Overview,1467856,default,Group 1,Card on LHMP_IA,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,,1686487,Overview,Overview Annotation Card,"LHMP_IA component ""Overview Annotation Card"" (Overview / Annotation SHMP Card)",,,,2178591,positional
T5-003,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_risk/climate_change,the_risk/climate_change,1300805,(not labelled),(untitled Card),1470307,default,Group 1,Card on LHMP_IA,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,,1686487,Overview,Overview Annotation Card,"inherited from LHMP_IA component ""Overview Annotation Card"" (Overview / Annotation SHMP Card)",,,,2178592,positional
T5-004,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_risk,the_risk,1300894,Relevant,(untitled lexical),2005373,default,Group 1,lexical,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,Not Applicable,1468642,Overview,Overview,"LHMP_IA section ""Overview"" (first section on the page)",Medium,Hidden from view,,2178618,trackingId
T5-005,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_risk,the_risk,1300894,Relevant,Overview,2005374,default,Group 1,Card on LHMP_IA,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,Not Applicable,1468642,Overview,Overview,"LHMP_IA component ""Overview"" (Overview / Card)",High,,A1-a,2178619,trackingId
T5-006,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_risk,the_risk,1300894,Relevant,Requirements,2005375,default,Group 1,Card on LHMP_IA,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,Not Applicable,1468641,Overview,Requirements,"LHMP_IA component ""Requirements"" (Overview / Card)",High,,A1-a,2178620,trackingId
T5-007,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_risk,the_risk,1300894,Relevant,Executive Summary,2005376,default,Group 1,lexical,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,Not Applicable,1468643,Executive Summary,Executive Summary,"LHMP_IA component ""Executive Summary"" (Executive Summary / Card)",High,,A1-a,2178621,trackingId
T5-008,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_risk,the_risk,1300894,Relevant,(untitled lexical),2005377,default,Group 1,lexical,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,Not Applicable,1468643,Executive Summary,Executive Summary,"inherited from LHMP_IA component ""Executive Summary"" (Executive Summary / Card)",Medium,Hidden from view,,2178622,trackingId
T5-009,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_local_environment/people_and_communities,the_local_environment/people_and_communities,1300810,(not labelled),(untitled lexical),2003766,default,Group 1,lexical,tags (absent),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,Not Applicable,1468253,Overview,Overview,"LHMP_IA section ""Overview"" (first section on the page) [realigned (component re-created since QA)]",Medium,Hidden from view,,2257905,trackingId
T5-010,5,No requirement tag,Governance,Component setting,component,https://county_template.devmny.org/the_local_environment/people_and_communities,the_local_environment/people_and_communities,1300810,(not labelled),Overview,2003767,default,Group 1,Card on LHMP_IA,tags (empty string),"Section Settings > Tags: assign the 44 CFR 201.6 element this section satisfies, using the vocabulary already in use on the other 903 sections (A1-a, B1-d, C4-a, E1-a, ...).",,Open,,,,Not Applicable,1468253,Overview,Overview,"LHMP_IA component ""Overview"" (Overview / Card) [realigned (component re-created since QA)]",High,,,2257906,trackingId
