Fix ID,Parent finding,Pattern ID,Page URL,Page,Page ID,Section title,Draft section ID,Tracking ID,Component kind,Config shape,Source snapshot key,Draft index,Hidden from view,Source name,Source label (as shown in picker),Source class,Source ID,View ID,Source env (srcEnv),Has join,Stored fetch mode,readyToLoad,Resolved behaviour,Relies on implicit fallback,In scope,Scope reason,Recommended fetch mode,Recommended fix,Fix needed,Status,Assigned to,Date fixed,Notes
T6-C031,T6-001,1300890,https://county_template.devmny.org/the_plan/about_the_process,the_plan/about_the_process,1300807,Planning Participants,1515016,50f8e46b-5c8c-490d-a44f-9cda6174e160,Spreadsheet,v2,externalSource,16,,Roles,Roles [test_meta_forms],internal,1473295,1473296,mitigat-ny-prod+test_meta_forms,,Force (always re-fetch),TRUE,Force (always re-fetch),,Yes,,Force (always re-fetch),None - already set to Force (always re-fetch).,No,Closed,,,Already correct at scan time.
T6-C033,T6-001,1300890,https://county_template.devmny.org/the_plan/about_the_process,the_plan/about_the_process,1300807,Planning Meetings,1515018,731c2f3a-9ab5-4ab0-baf7-f13fc55e412f,Spreadsheet,v2,externalSource,18,,Participation,Participation [test_meta_forms],internal,1473468,1473469,mitigat-ny-prod+test_meta_forms,,Force (always re-fetch),TRUE,Force (always re-fetch),,Yes,,Force (always re-fetch),None - already set to Force (always re-fetch).,No,Closed,,,Already correct at scan time.
T6-C035,T6-001,1300890,https://county_template.devmny.org/the_plan/about_the_process,the_plan/about_the_process,1300807,County Capabilities Table,1685651,fb1cda18-be36-4d79-9837-518adfa24ac4,Spreadsheet,v2,externalSource,27,,Capabilities_Catalogue,Capabilities_Catalogue [test_meta_forms],internal,1068273,1172519,mitigat-ny-prod+test_meta_forms,,Force (always re-fetch),TRUE,Force (always re-fetch),,Yes,,Force (always re-fetch),None - already set to Force (always re-fetch).,No,Closed,,,Already correct at scan time.
T6-C036,T6-001,1300890,https://county_template.devmny.org/the_plan/about_the_process,the_plan/about_the_process,1300807,Jurisdictional Resources and Capabilities,1685653,e741135c-94f0-4a11-958c-c5b15726a5be,Spreadsheet,v2,externalSource,29,,Capabilities_Catalogue,Capabilities_Catalogue [test_meta_forms],internal,1068273,1172519,mitigat-ny-prod+test_meta_forms,,Force (always re-fetch),TRUE,Force (always re-fetch),,Yes,,Force (always re-fetch),None - already set to Force (always re-fetch).,No,Closed,,,Already correct at scan time.
T6-C038,T6-001,1300890,https://county_template.devmny.org/the_plan/capabilities_assessment,the_plan/capabilities_assessment,1425510,State Mitigation Capabilities,1426481,3f9ab902-55ed-40c5-be06-400ce0bc86ac,Spreadsheet,v2,externalSource,3,,Capabilities_Catalogue,Capabilities_Catalogue [test_meta_forms],internal,1068273,1172519,mitigat-ny-prod+test_meta_forms,,Force (always re-fetch),TRUE,Force (always re-fetch),,Yes,,Force (always re-fetch),None - already set to Force (always re-fetch).,No,Closed,,,Already correct at scan time.
T6-C558,T6-001,1300890,https://county_template.devmny.org/the_plan/capabilities_assessment,the_plan/capabilities_assessment,1425510,Local Capabilities Table,2418307,2f40af3f-b05a-48ed-abee-c195a241d922,Spreadsheet,v2,externalSource,7,,Capabilities_Catalogue,Capabilities_Catalogue [test_meta_forms],internal,1068273,1172519,mitigat-ny-prod+test_meta_forms,,Force (always re-fetch),TRUE,Force (always re-fetch),,Yes,,Force (always re-fetch),None - already set to Force (always re-fetch).,No,Closed,,,Already correct at scan time.
T6-C560,T6-001,1300890,https://county_template.devmny.org/the_plan/capabilities_assessment,the_plan/capabilities_assessment,1425510,State Mitigation Capabilities,2418393,ce07faf6-b7e3-4f5f-b4f4-44af8e377d15,Spreadsheet,v2,externalSource,9,,Capabilities_Catalogue,Capabilities_Catalogue [test_meta_forms],internal,1068273,1172519,mitigat-ny-prod+test_meta_forms,,Force (always re-fetch),TRUE,Force (always re-fetch),,Yes,,Force (always re-fetch),None - already set to Force (always re-fetch).,No,Closed,,,Already correct at scan time.
T6-C561,T6-001,1300890,https://county_template.devmny.org/the_plan/capabilities_assessment,the_plan/capabilities_assessment,1425510,Local Capabilities Table,2418422,7b139e9c-511e-4626-96bd-3ecfc78eb400,Spreadsheet,v2,externalSource,13,,Capabilities_Catalogue,Capabilities_Catalogue [test_meta_forms],internal,1068273,1172519,mitigat-ny-prod+test_meta_forms,,Force (always re-fetch),TRUE,Force (always re-fetch),,Yes,,Force (always re-fetch),None - already set to Force (always re-fetch).,No,Closed,,,Already correct at scan time.
T6-C563,T6-001,1300890,https://county_template.devmny.org/the_plan/capabilities_assessment,the_plan/capabilities_assessment,1425510,State Mitigation Capabilities,2418452,8d8cbd22-8801-46a5-bb77-2c8eb48b84ae,Spreadsheet,v2,externalSource,15,,Capabilities_Catalogue,Capabilities_Catalogue [test_meta_forms],internal,1068273,1172519,mitigat-ny-prod+test_meta_forms,,Force (always re-fetch),TRUE,Force (always re-fetch),,Yes,,Force (always re-fetch),None - already set to Force (always re-fetch).,No,Closed,,,Already correct at scan time.
T6-C564,T6-001,1300890,https://county_template.devmny.org/the_plan/capabilities_assessment,the_plan/capabilities_assessment,1425510,Local Capabilities Table,1426515,1f5cbb43-d738-4391-b34c-62264c87d1de,Spreadsheet,v1,sourceInfo,19,,Capabilities_Catalogue,Capabilities_Catalogue [test-meta-forms],internal,1068273,1172519,mitigat-ny-prod+test-meta-forms,,Force (always re-fetch),TRUE,Force (always re-fetch),,Yes,,Force (always re-fetch),None - already set to Force (always re-fetch).,No,Closed,,,Already correct at scan time.
T6-C566,T6-001,1300890,https://county_template.devmny.org/the_plan/capabilities_assessment,the_plan/capabilities_assessment,1425510,State Mitigation Capabilities,1426542,3f9ab902-55ed-40c5-be06-400ce0bc86ac,Spreadsheet,v1,sourceInfo,21,,Capabilities_Catalogue,Capabilities_Catalogue [test-meta-forms],internal,1068273,1172519,mitigat-ny-prod+test-meta-forms,,Force (always re-fetch),TRUE,Force (always re-fetch),,Yes,,Force (always re-fetch),None - already set to Force (always re-fetch).,No,Closed,,,Already correct at scan time.
T6-C567,T6-001,1300890,https://county_template.devmny.org/the_plan/capabilities_assessment,the_plan/capabilities_assessment,1425510,Local Capabilities Table,2418453,b6aeb776-4b75-4de6-8820-fa6547f5fca7,Spreadsheet,v2,externalSource,25,,Capabilities_Catalogue,Capabilities_Catalogue [test_meta_forms],internal,1068273,1172519,mitigat-ny-prod+test_meta_forms,,Force (always re-fetch),TRUE,Force (always re-fetch),,Yes,,Force (always re-fetch),None - already set to Force (always re-fetch).,No,Closed,,,Already correct at scan time.
T6-C568,T6-001,1300890,https://county_template.devmny.org/the_plan/jurisdictional_annexes,the_plan/jurisdictional_annexes,1300933,Jurisdictional Annex Table,2380934,d560a491-85c2-4dc3-86dd-072afa8b10f3,Spreadsheet,v1,sourceInfo,2,,Jurisdictions,Jurisdictions [test-meta-forms],internal,1346449,1346450,mitigat-ny-prod+test-meta-forms,,Force (always re-fetch),TRUE,Force (always re-fetch),,Yes,,Force (always re-fetch),None - already set to Force (always re-fetch).,No,Closed,,,Already correct at scan time.
T6-C101,T6-001,1300890,https://county_template.devmny.org/the_plan/jurisdictional_annexes/select_jurisdiction,the_plan/jurisdictional_annexes/select_jurisdiction,1348541,(untitled Card),2378149,ddef1b18-1149-44ad-bf9d-782aea34d56b,Card,v2,externalSource,4,TRUE,Jurisdictions,Jurisdictions [test_meta_forms],internal,1346449,1346450,mitigat-ny-prod+test_meta_forms,,Force (always re-fetch),TRUE,Force (always re-fetch),,Yes,,Force (always re-fetch),None - already set to Force (always re-fetch).,No,Closed,,,Already correct at scan time.
T6-C594,T6-001,1300890,https://county_template.devmny.org/the_plan/jurisdictional_annexes/select_jurisdiction,the_plan/jurisdictional_annexes/select_jurisdiction,1348541,(untitled Card),1348566,56a25715-595d-48f6-9b99-368aa0eaca8b,Card,v1,sourceInfo,5,,Jurisdictions,Jurisdictions [test-meta-forms],internal,1346449,1346450,mitigat-ny-prod+test-meta-forms,,Force (always re-fetch),TRUE,Force (always re-fetch),,Yes,,Force (always re-fetch),None - already set to Force (always re-fetch).,No,Closed,,,Already correct at scan time.
T6-C102,T6-001,1300890,https://county_template.devmny.org/the_plan/jurisdictional_annexes/select_jurisdiction,the_plan/jurisdictional_annexes/select_jurisdiction,1348541,Executive Summary,1348552,d5ca1fcc-2c26-4f32-b30a-ad1c08185a4b,Card,v2,externalSource,6,,Jurisdictions,Jurisdictions [test_meta_forms],internal,1346449,1346450,mitigat-ny-prod+test_meta_forms,,Force (always re-fetch),TRUE,Force (always re-fetch),,Yes,,Force (always re-fetch),None - already set to Force (always re-fetch).,No,Closed,,,Already correct at scan time.
T6-C103,T6-001,1300890,https://county_template.devmny.org/the_plan/jurisdictional_annexes/select_jurisdiction,the_plan/jurisdictional_annexes/select_jurisdiction,1348541,Hazard Mitigation Representatives ,1436108,50f8e46b-5c8c-490d-a44f-9cda6174e160,Spreadsheet,v2,externalSource,7,,Roles,Roles [test_meta_forms],internal,1473295,1657887,mitigat-ny-prod+test_meta_forms,,Force (always re-fetch),TRUE,Force (always re-fetch),,Yes,,Force (always re-fetch),None - already set to Force (always re-fetch).,No,Closed,,,Already correct at scan time.
