Fix ID,Type,Type name,Tier,Fix category,Scope,Page URL,Page,Section title,Component ID,Component kind,What is wrong,Recommended fix,Fix group,Status,Assigned to,Date fixed,Notes,Requirement,Requirement source (LHMP_IA row),LHMP_IA section,LHMP_IA component,Match basis,Confidence,Renders on page,Why it does not render,Original type,Original type name,Replaced by (live component ID),Replacement match basis
T1-002,1,SHMP narrative not permission-locked,Governance,Component setting,component,https://county_template.devmny.org/the_plan/jurisdictional_annexes/jurisdictional_annex_form,the_plan/jurisdictional_annexes/jurisdictional_annex_form,Progress,2262510,Card on LHMP_IA,NO PERMISSIONS SET - anyone with edit rights can change it,"Section Settings > Permissions: set authPermissions to {""users"":{},""groups"":{""LHMP Template Editor"":[""*""]}} - the value already on the other 290 LHMP_IA sections.",LHMP_IA edit lock,Open,,,,,,,,,,Published,,,,,
T1-003,1,SHMP narrative not permission-locked,Governance,Component setting,component,https://county_template.devmny.org/the_local_environment/built_environment,the_local_environment/built_environment,Overview,2341172,Card on LHMP_IA,NO PERMISSIONS SET - anyone with edit rights can change it,"Section Settings > Permissions: set authPermissions to {""users"":{},""groups"":{""LHMP Template Editor"":[""*""]}} - the value already on the other 290 LHMP_IA sections.",LHMP_IA edit lock,Open,,,,,,,,,,Published,,,,,
T1-004,1,SHMP narrative not permission-locked,Governance,Component setting,component,https://county_template.devmny.org/the_plan/about_the_process,the_plan/about_the_process,The Planning Process,2386703,Card on LHMP_IA,NO PERMISSIONS SET - anyone with edit rights can change it,"Section Settings > Permissions: set authPermissions to {""users"":{},""groups"":{""LHMP Template Editor"":[""*""]}} - the value already on the other 290 LHMP_IA sections.",LHMP_IA edit lock,Open,,,,,,,,,,Published,,,,,
T1-005,1,SHMP narrative not permission-locked,Governance,Component setting,component,https://county_template.devmny.org/the_plan/about_the_process,the_plan/about_the_process,Local Resources,2386720,Card on LHMP_IA,NO PERMISSIONS SET - anyone with edit rights can change it,"Section Settings > Permissions: set authPermissions to {""users"":{},""groups"":{""LHMP Template Editor"":[""*""]}} - the value already on the other 290 LHMP_IA sections.",LHMP_IA edit lock,Open,,,,,,,,,,Published,,,,,
T1-006,1,SHMP narrative not permission-locked,Governance,Component setting,component,https://county_template.devmny.org/the_plan/about_the_process,the_plan/about_the_process,(untitled Card),2386725,Card on LHMP_IA,NO PERMISSIONS SET - anyone with edit rights can change it,"Section Settings > Permissions: set authPermissions to {""users"":{},""groups"":{""LHMP Template Editor"":[""*""]}} - the value already on the other 290 LHMP_IA sections.",LHMP_IA edit lock,Open,,,,,,,,,,Published,,,,,
T1-007,1,SHMP narrative not permission-locked,Governance,Component setting,component,https://county_template.devmny.org/the_plan/about_the_process,the_plan/about_the_process,Maintenance,2386730,Card on LHMP_IA,NO PERMISSIONS SET - anyone with edit rights can change it,"Section Settings > Permissions: set authPermissions to {""users"":{},""groups"":{""LHMP Template Editor"":[""*""]}} - the value already on the other 290 LHMP_IA sections.",LHMP_IA edit lock,Open,,,,,,,,,,Published,,,,,
T1-009,1,SHMP narrative not permission-locked,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/flooding,the_risk/natural_hazards/flooding,Overview,2384264,Card on LHMP_IA,NO PERMISSIONS SET - anyone with edit rights can change it,"Section Settings > Permissions: set authPermissions to {""users"":{},""groups"":{""LHMP Template Editor"":[""*""]}} - the value already on the other 290 LHMP_IA sections.",LHMP_IA edit lock,Open,,,,,,,,,,Published,,,,,
T1-010,1,SHMP narrative not permission-locked,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/flooding,the_risk/natural_hazards/flooding,Total Events and Losses in $: Declared Disasters and Non-Declared Events,2384279,Card on LHMP_IA,NO PERMISSIONS SET - anyone with edit rights can change it,"Section Settings > Permissions: set authPermissions to {""users"":{},""groups"":{""LHMP Template Editor"":[""*""]}} - the value already on the other 290 LHMP_IA sections.",LHMP_IA edit lock,Open,,,,,,,,,,Published,,,,,
T1-011,1,SHMP narrative not permission-locked,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/flooding,the_risk/natural_hazards/flooding,General Vulnerability,2384273,Card on LHMP_IA,NO PERMISSIONS SET - anyone with edit rights can change it,"Section Settings > Permissions: set authPermissions to {""users"":{},""groups"":{""LHMP Template Editor"":[""*""]}} - the value already on the other 290 LHMP_IA sections.",LHMP_IA edit lock,Open,,,,,,,,,,Published,,,,,
T1-012,1,SHMP narrative not permission-locked,Governance,Component setting,component,https://county_template.devmny.org/the_risk/natural_hazards/flooding,the_risk/natural_hazards/flooding,(untitled Card),2384274,Card on LHMP_IA,NO PERMISSIONS SET - anyone with edit rights can change it,"Section Settings > Permissions: set authPermissions to {""users"":{},""groups"":{""LHMP Template Editor"":[""*""]}} - the value already on the other 290 LHMP_IA sections.",LHMP_IA edit lock,Open,,,,,,,,,,Published,,,,,
