Logical key,Domain,Page,Page URL,Section title,Component kind,Hidden from view,Section ID (county_template),Link (county_template),Section ID (schenectady_draft_test),Link (schenectady_draft_test),Section ID (nassautest),Link (nassautest),trackingId,Source,Config shape,Data fetch mode,Tags,Geoid filters,Other filters,Meta freshness,County-authored,County-specific text type,Authored text status,Dataset text differs,Match tier,Deviation count,Deviations across patterns,Verdict,Status,Assigned to,Notes
auth_test_page#0|lexical,schenectady_draft_test,auth_test_page,/edit/auth_test_page,(untitled),lexical,no,,,2436893,https://schenectady_draft_test.devmny.org/edit/auth_test_page#2436893,,,989ef269-2824-499b-8c4d-4beb6bf2d19c,,,not set,,,,,FALSE,,present,,unmatched - one pattern only,,,not in every pattern,,,
auth_test_page#1|lexical,schenectady_draft_test,auth_test_page,/edit/auth_test_page,(untitled),lexical,no,,,2438584,https://schenectady_draft_test.devmny.org/edit/auth_test_page#2438584,,,54bde268-a402-4950-9659-b328c2b03406,,,not set,,,,,FALSE,,present,,unmatched - one pattern only,,,not in every pattern,,,
auth_test_page#2|lexical,schenectady_draft_test,auth_test_page,/edit/auth_test_page,(untitled),lexical,no,,,2436892,https://schenectady_draft_test.devmny.org/edit/auth_test_page#2436892,,,ead6788e-004c-44b8-b298-685e556dd809,,,not set,,,,,FALSE,,present,,unmatched - one pattern only,,,not in every pattern,,,
auth_test_page#3|lexical,schenectady_draft_test,auth_test_page,/edit/auth_test_page,(untitled),lexical,no,,,2436890,https://schenectady_draft_test.devmny.org/edit/auth_test_page#2436890,,,55eab45c-2fa3-4794-87bc-ebd8e33d08d6,,,not set,,,,,FALSE,,none,,unmatched - one pattern only,,,not in every pattern,,,
auth_test_page#4|Spreadsheet,schenectady_draft_test,auth_test_page,/edit/auth_test_page,(untitled),Spreadsheet,no,,,2441496,https://schenectady_draft_test.devmny.org/edit/auth_test_page#2441496,,,730e2ec6-a7d8-44cb-8e07-67c13fcd5265,Capabilities_Catalogue,v1,not set,,,buildings_private=null,behind (123 of 136),FALSE,,none,,unmatched - one pattern only,,,not in every pattern,,,
auth_test_page#5|Map,schenectady_draft_test,auth_test_page,/edit/auth_test_page,(untitled),Map,no,,,2436637,https://schenectady_draft_test.devmny.org/edit/auth_test_page#2436637,,,0b62561a-a7cf-4bd0-b3ef-638dd2ac1810,,,not set,,,,,FALSE,,none,,unmatched - one pattern only,,,not in every pattern,,,
07af22e8-dcf1-4ad0-95ce-3b6cd8c70674|home,all,home,/edit/home,(untitled),Header: MNY Data,no,2175337,https://county_template.devmny.org/edit/home#2175337,2436167,https://schenectady_draft_test.devmny.org/edit/home#2436167,2426930,https://nassautest.devmny.org/edit/home#2426930,07af22e8-dcf1-4ad0-95ce-3b6cd8c70674,DHSES_County_Database,v2,not set,,geoid[page:geoid]=36105,,current,FALSE,,none,no,A - trackingId + page,0,,identical,,,
5b1e4403-b450-419b-93c3-5efa8421599f|home,all,home,/edit/home,(untitled),lexical,no,2175339,https://county_template.devmny.org/edit/home#2175339,2442894,https://schenectady_draft_test.devmny.org/edit/home#2442894,2424740,https://nassautest.devmny.org/edit/home#2424740,5b1e4403-b450-419b-93c3-5efa8421599f,,,not set,,,,,FALSE,,same,no,A - trackingId + page,0,,identical,,,
264af6bf-a753-4440-b26a-0845705bb5e2|home,all,home,/edit/home,(untitled),lexical,no,2175340,https://county_template.devmny.org/edit/home#2175340,2436161,https://schenectady_draft_test.devmny.org/edit/home#2436161,2424730,https://nassautest.devmny.org/edit/home#2424730,264af6bf-a753-4440-b26a-0845705bb5e2,,,not set,,,,,FALSE,,same,no,A - trackingId + page,0,,identical,,,
07c30e02-1ceb-4f18-868e-d73a7df8ce26|home,all,home,/edit/home,(untitled),lexical,no,2175341,https://county_template.devmny.org/edit/home#2175341,2442922,https://schenectady_draft_test.devmny.org/edit/home#2442922,2426933,https://nassautest.devmny.org/edit/home#2426933,07c30e02-1ceb-4f18-868e-d73a7df8ce26,,,not set,,,,,FALSE,,same,no,A - trackingId + page,0,,identical,,,
5bead03e-be29-4fe8-b2fb-4e88afb4e2c4|home,all,home,/edit/home,(untitled),lexical,no,2175342,https://county_template.devmny.org/edit/home#2175342,2442923,https://schenectady_draft_test.devmny.org/edit/home#2442923,2424733,https://nassautest.devmny.org/edit/home#2424733,5bead03e-be29-4fe8-b2fb-4e88afb4e2c4,,,not set,,,,,FALSE,,same,no,A - trackingId + page,0,,identical,,,
b9589d64-f212-45a7-838f-d65ebc066504|home,all,home,/edit/home,(untitled),lexical,no,2175343,https://county_template.devmny.org/edit/home#2175343,2436162,https://schenectady_draft_test.devmny.org/edit/home#2436162,2420471,https://nassautest.devmny.org/edit/home#2420471,b9589d64-f212-45a7-838f-d65ebc066504,,,not set,,,,,FALSE,,same,no,A - trackingId + page,0,,identical,,,
eda39424-4ff0-4a92-b07f-9ae61cac0724|home,all,home,/edit/home,(untitled),lexical,no,2175344,https://county_template.devmny.org/edit/home#2175344,2442871,https://schenectady_draft_test.devmny.org/edit/home#2442871,2426828,https://nassautest.devmny.org/edit/home#2426828,eda39424-4ff0-4a92-b07f-9ae61cac0724,,,not set,,,,,FALSE,,same,no,A - trackingId + page,0,,identical,,,
3df6ac28-12b2-45a1-b1b9-3f2b1a6a0b7b|home,all,home,/edit/home,(untitled),lexical,no,2175345,https://county_template.devmny.org/edit/home#2175345,2442917,https://schenectady_draft_test.devmny.org/edit/home#2442917,2424741,https://nassautest.devmny.org/edit/home#2424741,3df6ac28-12b2-45a1-b1b9-3f2b1a6a0b7b,,,not set,,,,,FALSE,,same,no,A - trackingId + page,0,,identical,,,
0b640ada-7b33-474b-9472-0b8c6a36dd8a|home,all,home,/edit/home,(untitled),lexical,no,2175346,https://county_template.devmny.org/edit/home#2175346,2442949,https://schenectady_draft_test.devmny.org/edit/home#2442949,2425114,https://nassautest.devmny.org/edit/home#2425114,0b640ada-7b33-474b-9472-0b8c6a36dd8a,,,not set,,,,,FALSE,,same,no,A - trackingId + page,0,,identical,,,
6f40a500-72da-42d2-a62e-6fbc6c0df0b4|home,all,home,/edit/home,(untitled),Footer: MNY Footer,no,2175347,https://county_template.devmny.org/edit/home#2175347,2442887,https://schenectady_draft_test.devmny.org/edit/home#2442887,2426946,https://nassautest.devmny.org/edit/home#2426946,6f40a500-72da-42d2-a62e-6fbc6c0df0b4,,v1,not set,,,,,FALSE,,none,no,A - trackingId + page,0,,identical,,,
d78ea23f-24e4-41fb-96f0-be7760d31b7b|home,all,home,/edit/home,County Hazard Profiles,Card,no,2175348,https://county_template.devmny.org/edit/home#2175348,2442889,https://schenectady_draft_test.devmny.org/edit/home#2442889,2420473,https://nassautest.devmny.org/edit/home#2420473,d78ea23f-24e4-41fb-96f0-be7760d31b7b,AVAIL - Fusion Events V2,v2,not set,,"substring(geoid, 1, 2) as state=36 ; geoid[page:geoid]=36105",,unknown source,FALSE,,none,no,A - trackingId + page,0,,identical,,,
281e8757-0ec4-43eb-8151-c4a2f691be5c|pages,all,pages,/edit/pages,Pages,Spreadsheet,no,1496876,https://county_template.devmny.org/edit/pages#1496876,2439715,https://schenectady_draft_test.devmny.org/edit/pages#2439715,2420865,https://nassautest.devmny.org/edit/pages#2420865,281e8757-0ec4-43eb-8151-c4a2f691be5c,pages,v1,not set,,,,unknown source,FALSE,,none,no,A - trackingId + page,0,,identical,,,
c873844b-d05a-4191-9c7d-0f86652faefa|sections,all,sections,/edit/sections,(untitled),lexical,no,1496497,https://county_template.devmny.org/edit/sections#1496497,2439735,https://schenectady_draft_test.devmny.org/edit/sections#2439735,2423761,https://nassautest.devmny.org/edit/sections#2423761,c873844b-d05a-4191-9c7d-0f86652faefa,,,not set,,,,,FALSE,,none,no,A - trackingId + page,0,,identical,,,
199813bd-e06f-4e36-a54c-d064c92d5ac6|sections,all,sections,/edit/sections,(untitled),Spreadsheet,no,1496475,https://county_template.devmny.org/edit/sections#1496475,2439762,https://schenectady_draft_test.devmny.org/edit/sections#2439762,2423798,https://nassautest.devmny.org/edit/sections#2423798,199813bd-e06f-4e36-a54c-d064c92d5ac6,sections,v1,not set,,,,unknown source,FALSE,,none,no,A - trackingId + page,0,,identical,,,
6f4cdfbc-8af9-4381-b759-a9f7b2a2a657|sections,all,sections,/edit/sections,(untitled),Spreadsheet,no,1681720,https://county_template.devmny.org/edit/sections#1681720,2439975,https://schenectady_draft_test.devmny.org/edit/sections#2439975,2423853,https://nassautest.devmny.org/edit/sections#2423853,6f4cdfbc-8af9-4381-b759-a9f7b2a2a657,sections,v1,not set,,,,unknown source,FALSE,,none,no,A - trackingId + page,0,,identical,,,
c08bc937-bd76-4a58-883f-3a9bbd9ecc9a|the_local_environment,all,the_local_environment,/edit/the_local_environment,(untitled),lexical,yes,1704148,https://county_template.devmny.org/edit/the_local_environment#1704148,2438879,https://schenectady_draft_test.devmny.org/edit/the_local_environment#2438879,2422968,https://nassautest.devmny.org/edit/the_local_environment#2422968,c08bc937-bd76-4a58-883f-3a9bbd9ecc9a,,,not set,,,,,FALSE,,same,no,A - trackingId + page,0,,identical,,,
2ef148c0-518c-4c2f-ad92-a3913bf70c78|the_local_environment,all,the_local_environment,/edit/the_local_environment,(untitled),lexical,no,1449273,https://county_template.devmny.org/edit/the_local_environment#1449273,2438766,https://schenectady_draft_test.devmny.org/edit/the_local_environment#2438766,2422680,https://nassautest.devmny.org/edit/the_local_environment#2422680,2ef148c0-518c-4c2f-ad92-a3913bf70c78,,,not set,,,,,FALSE,,same,no,A - trackingId + page,0,,identical,,,
882a7fad-008f-44d0-9355-983eafbf9f79|the_local_environment,all,the_local_environment,/edit/the_local_environment,(untitled),lexical,no,1449270,https://county_template.devmny.org/edit/the_local_environment#1449270,2438768,https://schenectady_draft_test.devmny.org/edit/the_local_environment#2438768,2421670,https://nassautest.devmny.org/edit/the_local_environment#2421670,882a7fad-008f-44d0-9355-983eafbf9f79,,,not set,,,,,FALSE,,same,no,A - trackingId + page,0,,identical,,,
78bfff47-83a6-427d-999f-b8e858b21f2c|the_local_environment,all,the_local_environment,/edit/the_local_environment,(untitled),lexical,no,1449264,https://county_template.devmny.org/edit/the_local_environment#1449264,2438725,https://schenectady_draft_test.devmny.org/edit/the_local_environment#2438725,2422718,https://nassautest.devmny.org/edit/the_local_environment#2422718,78bfff47-83a6-427d-999f-b8e858b21f2c,,,not set,,,,,FALSE,,same,no,A - trackingId + page,0,,identical,,,
c201c828-6b4b-49bb-8fe8-d5a37e83669d|the_local_environment,all,the_local_environment,/edit/the_local_environment,(untitled),lexical,no,1449268,https://county_template.devmny.org/edit/the_local_environment#1449268,2436984,https://schenectady_draft_test.devmny.org/edit/the_local_environment#2436984,2425659,https://nassautest.devmny.org/edit/the_local_environment#2425659,c201c828-6b4b-49bb-8fe8-d5a37e83669d,,,not set,,,,,FALSE,,same,no,A - trackingId + page,0,,identical,,,
eb4fc7c3-b252-4ade-988f-23d3d5d81a4d|the_local_environment,all,the_local_environment,/edit/the_local_environment,(untitled),lexical,no,1449266,https://county_template.devmny.org/edit/the_local_environment#1449266,2438675,https://schenectady_draft_test.devmny.org/edit/the_local_environment#2438675,2422716,https://nassautest.devmny.org/edit/the_local_environment#2422716,eb4fc7c3-b252-4ade-988f-23d3d5d81a4d,,,not set,,,,,FALSE,,same,no,A - trackingId + page,0,,identical,,,
6f91ecbc-bf09-4e53-9757-4d31f717e4b9|the_local_environment,all,the_local_environment,/edit/the_local_environment,(untitled),Footer: MNY Footer,no,1673033,https://county_template.devmny.org/edit/the_local_environment#1673033,2438808,https://schenectady_draft_test.devmny.org/edit/the_local_environment#2438808,2422817,https://nassautest.devmny.org/edit/the_local_environment#2422817,6f91ecbc-bf09-4e53-9757-4d31f717e4b9,,v1,not set,,,,,FALSE,,none,no,A - trackingId + page,0,,identical,,,
the_local_environment#0|Header: MNY Data,all,the_local_environment,/edit/the_local_environment,(untitled),Header: MNY Data,no,1299444,https://county_template.devmny.org/edit/the_local_environment#1299444,2438750,https://schenectady_draft_test.devmny.org/edit/the_local_environment#2438750,2421663,https://nassautest.devmny.org/edit/the_local_environment#2421663,,,v1,not set,,,,,FALSE,,none,no,B - position + kind + source,0,,identical,,,
51e53fd0-3b88-49cc-aa28-b4ecfacc22f1|the_local_environment,all,the_local_environment,/edit/the_local_environment,Executive Summary,lexical,no,1458921,https://county_template.devmny.org/edit/the_local_environment#1458921,2438759,https://schenectady_draft_test.devmny.org/edit/the_local_environment#2438759,2422717,https://nassautest.devmny.org/edit/the_local_environment#2422717,51e53fd0-3b88-49cc-aa28-b4ecfacc22f1,,,not set,,,,,TRUE,type 1 - authored county narrative,"template blank, duplicate filled",no,A - trackingId + page,0,,identical,,,
c37b602f-f7cc-4fc3-acb1-861b69a84636|the_local_environment,all,the_local_environment,/edit/the_local_environment,Overview,Card,no,1458917,https://county_template.devmny.org/edit/the_local_environment#1458917,2438770,https://schenectady_draft_test.devmny.org/edit/the_local_environment#2438770,2422700,https://nassautest.devmny.org/edit/the_local_environment#2422700,c37b602f-f7cc-4fc3-acb1-861b69a84636,LHMP_IA,v1,not set,,,top_nav_section=The Local Environment ; page=The Local Environment ; section=Overview ; component_name=Overview,current,FALSE,,none,no,A - trackingId + page,0,,identical,,,
0303a128-3722-4cc1-b43d-176723cb5be6|the_local_environment,all,the_local_environment,/edit/the_local_environment,Requirements,Card,no,1466561,https://county_template.devmny.org/edit/the_local_environment#1466561,2438747,https://schenectady_draft_test.devmny.org/edit/the_local_environment#2438747,2422714,https://nassautest.devmny.org/edit/the_local_environment#2422714,0303a128-3722-4cc1-b43d-176723cb5be6,LHMP_IA,v1,not set,,,top_nav_section=The Local Environment ; page=The Local Environment ; section=Overview ; component_name=Requirements,behind (25 of 48),FALSE,,none,no,A - trackingId + page,1,permissions,lag - propagate from template,,,
7f830f2f-31b7-435a-8e0b-55fc2789cb74|the_local_environment/built_environment,all,the_local_environment/built_environment,/edit/the_local_environment/built_environment,(untitled),lexical,yes,2011168,https://county_template.devmny.org/edit/the_local_environment/built_environment#2011168,2438970,https://schenectady_draft_test.devmny.org/edit/the_local_environment/built_environment#2438970,2423053,https://nassautest.devmny.org/edit/the_local_environment/built_environment#2423053,7f830f2f-31b7-435a-8e0b-55fc2789cb74,,,not set,,,,,FALSE,,same,no,A - trackingId + page,0,,identical,,,
e64cbc3b-5174-4f81-8a61-1eac390b2a09|the_local_environment/built_environment,all,the_local_environment/built_environment,/edit/the_local_environment/built_environment,(untitled),Card,no,2011170,https://county_template.devmny.org/edit/the_local_environment/built_environment#2011170,2438968,https://schenectady_draft_test.devmny.org/edit/the_local_environment/built_environment#2438968,2423022,https://nassautest.devmny.org/edit/the_local_environment/built_environment#2423022,e64cbc3b-5174-4f81-8a61-1eac390b2a09,LHMP_IA,v2,DEVIATION,,,top_nav_section=Local Environment ; page=Built Environment ; section=Overview ; component_name=Link card,current,FALSE,,none,no,A - trackingId + page,2,fetch mode; permissions,lag - propagate from template,,,
